Designator,MidX,MidY,Rotation,Layer
D1,175.842,-132.373,0,top
D2,182.192,-132.373,0,top
D3,188.542,-132.373,90,top
D4,191.082,-128.563,180,top
D5,186.637,-128.563,180,top
D6,182.192,-128.563,180,top
D7,177.747,-128.563,180,top
D8,173.302,-128.563,180,top
D9,171.397,-124.753,90,top
D10,175.207,-124.753,0,top
D11,179.652,-124.753,0,top
D12,184.097,-124.753,0,top
D13,188.542,-124.753,0,top
D14,192.987,-124.753,90,top
D15,196.797,-120.943,180,top
D16,190.447,-120.943,180,top
D17,186.319,-120.943,180,top
D18,178.382,-120.943,180,top
D19,173.937,-120.943,180,top
D20,167.269,-120.943,90,top
D21,168.222,-115.863,0,top
D22,170.762,-115.863,90,top
D23,174.572,-113.323,0,top
D24,178.382,-115.863,0,top
D25,182.192,-113.323,0,top
D26,186.002,-115.863,0,top
D27,190.447,-113.323,0,top
D28,194.892,-115.863,90,top
D29,194.892,-110.783,180,top
D30,190.447,-110.783,180,top
D31,186.002,-110.783,180,top
D32,182.192,-110.783,180,top
D33,178.382,-110.783,180,top
D34,173.937,-110.783,180,top
D35,169.492,-110.783,90,top
D36,172.032,-107.608,0,top
D37,175.207,-105.068,0,top
D38,178.382,-107.608,0,top
D39,182.192,-107.608,0,top
D40,186.002,-107.608,0,top
D41,189.177,-105.068,0,top
D42,192.352,-107.608,0,top
