Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,104.963789,-101.834919,-35.0,top
C1,10uF,C_1206_3216Metric,96.139,-114.6302,55.0,top
C7,0.1uF,C_0603_1608Metric,88.954691,-108.776718,55.0,top
C8,0.1uF,C_0603_1608Metric,90.5,-110.0,55.0,top
CAGE1,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,115.63809,-118.283485,-125.0,top
CM1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,87.368923,-88.709969,-16.0,top
COM1,COMS,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,78.868881,-90.976292,74.0,top
J2,OUTPUT,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,98.615,-132.884,0.0,top
JOY1,TDC,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,71.989243,-103.621553,74.0,top
SP1,SPDBRK,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,112.422437,-107.083886,-35.0,top
