Comment,Designator,Footprint,LCSC
.1uF,C2,C_0603_1608Metric,C14663
10K,R4,R_0603_1608Metric,C25804
PCA9555RGER,U1,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,C2652275
100uF,C1,CP_Elec_6.3x5.4,C2963046
WS2812B-2020,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D3,D4,D5,D6,D7,D8,D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555
B3F-1026,SW1,Omron_B3F-1026,
B3F-1026,SW2,Omron_B3F-1026,
B3F-1026,SW3,Omron_B3F-1026,
B3F-1026,SW4,Omron_B3F-1026,
B3F-1026,SW5,Omron_B3F-1026,
B3F-1026,SW6,Omron_B3F-1026,
B3F-1026,SW7,Omron_B3F-1026,
TO UFC,J1,PinHeader_2x03_P2.54mm_Vertical,
