Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_Elec_6.3x5.4,32.0688,7.0,270.0,bottom
C2,.1uF,C_0603_1608Metric,67.775,10.35,0.0,bottom
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,77.6358,2.0304,0.0,top
D2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,71.1848,2.0724,0.0,top
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,60.72,2.0724,0.0,top
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,54.2176,2.0724,0.0,top
D5,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,43.7528,2.0724,0.0,top
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,37.3012,2.0724,0.0,top
D7,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,26.8364,2.0724,0.0,top
D8,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,20.3848,2.0724,0.0,top
D9,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,9.8692,2.0724,0.0,top
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,3.4684,2.0724,0.0,top
D11,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,3.4684,12.334,180.0,top
D12,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,9.8692,12.334,180.0,top
D13,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,20.3848,12.334,180.0,top
D14,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,26.7856,12.334,180.0,top
D15,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,37.3012,12.334,180.0,top
D16,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,43.7528,12.334,180.0,top
D17,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,54.2684,12.334,180.0,top
D18,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,60.6692,12.334,180.0,top
D19,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,71.1848,12.334,180.0,top
D20,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,77.5856,12.334,180.0,top
D21,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,88.1012,12.334,180.0,top
D22,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,94.5528,12.334,180.0,top
D23,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,105.0176,12.334,180.0,top
D24,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,111.4692,12.2832,180.0,top
D25,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,111.4692,2.174,0.0,top
D26,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,105.0176,2.174,0.0,top
D27,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,94.5528,2.174,0.0,top
D28,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,88.1012,2.174,0.0,top
J1,TO UFC,PinHeader_2x03_P2.54mm_Vertical,82.825,7.635,0.0,bottom
R4,10K,R_0603_1608Metric,67.8,11.95,180.0,bottom
SW1,B3F-1026,Omron_B3F-1026,6.6675,7.2544,0.0,top
SW2,B3F-1026,Omron_B3F-1026,23.600833,7.2544,0.0,top
SW3,B3F-1026,Omron_B3F-1026,40.534202,7.254398,0.0,top
SW4,B3F-1026,Omron_B3F-1026,57.4675,7.2544,0.0,top
SW5,B3F-1026,Omron_B3F-1026,74.400833,7.2544,0.0,top
SW6,B3F-1026,Omron_B3F-1026,91.334167,7.2544,0.0,top
SW7,B3F-1026,Omron_B3F-1026,108.2675,7.2544,0.0,top
U1,PCA9555RGER,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,66.02476,6.61076,0.0,bottom
