Comment,Designator,Footprint,LCSC
~,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D4,D5,D6,D7,D8,D9",LED_0402_1005Metric,C130723
4.7k,"R11,R12,R13,R14,R15,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R4,R42,R5,R6,R7,R8",R_0603_1608Metric,C23162
33,"R16,R17,R18",R_0402_1005Metric,C25105
68,"R43,R44",R_0603_1608Metric,C27592
UFCScratchpadLCD,DS1,SCRATCHPADLCD,
UFCScratchPadBacklight,BL1,SCRATCHPADBACKLIGHT,
UFCOptionDigit,DS6,UFCOptionDigit,
UFCOptionDigit,DS5,UFCOptionDigit,
UFCOptionDigit,DS4,UFCOptionDigit,
UFCOptionDigit,DS3,UFCOptionDigit,
UFCOptionDigit,DS2,UFCOptionDigit,
UFCSingleDigit,DS8,UFCSingleDigit,
UFCSingleDigit,DS7,UFCSingleDigit,
VOL2,POT2,BR10K_Pot_11mm_x_11mm,
BRT,POT3,BR10K_Pot_11mm_x_11mm,
VOL1,POT1,BR10K_Pot_11mm_x_11mm,
TL1240GQ,SW1,TL1240GQ,
TL1240GQ,SW2,TL1240GQ,
TL1240GQ,SW3,TL1240GQ,
TL1240GQ,SW4,TL1240GQ,
TL1240GQ,SW5,TL1240GQ,
TL1240GQ,SW6,TL1240GQ,
TL1240GQ,SW7,TL1240GQ,
TL1240GQ,SW8,TL1240GQ,
TL1240GQ,SW9,TL1240GQ,
TL1240GQ,SW10,TL1240GQ,
TL1240GQ,SW11,TL1240GQ,
TL1240GQ,SW12,TL1240GQ,
TL1240GQ,SW13,TL1240GQ,
TL1240GQ,SW14,TL1240GQ,
TL1240GQ,SW15,TL1240GQ,
TL1240GQ,SW16,TL1240GQ,
TL1240GQ,SW17,TL1240GQ,
TL1240GQ,SW18,TL1240GQ,
TL1240GQ,SW19,TL1240GQ,
