Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BL1,UFCScratchPadBacklight,SCRATCHPADBACKLIGHT,45.33856,85.5782,0.0,top
C1,10uF,C_0805_2012Metric,100.18756,92.9612,270.0,bottom
C2,10uF,C_0805_2012Metric,99.49456,52.8982,270.0,bottom
C3,10uF,C_0805_2012Metric,99.58556,11.3132,270.0,bottom
C4,10uF,C_0805_2012Metric,149.72256,22.0372,180.0,bottom
C7,.1uF,C_0603_1608Metric,43.38356,67.6402,0.0,bottom
C8,.1uF,C_0603_1608Metric,81.86456,68.1482,0.0,bottom
C9,.1uF,C_0603_1608Metric,63.06856,41.3512,270.0,bottom
C10,.1uF,C_0603_1608Metric,61.41756,30.6832,0.0,bottom
C11,.1uF,C_0603_1608Metric,46.55856,41.6052,270.0,bottom
C12,.1uF,C_0603_1608Metric,38.4302,29.6672,0.0,bottom
D1,~,LED_0402_1005Metric,11.23946,97.5092,90.0,top
D2,~,LED_0402_1005Metric,14.23956,97.5092,90.0,top
D3,~,LED_0402_1005Metric,10.95946,76.1992,0.0,top
D4,~,LED_0402_1005Metric,13.29956,75.7192,-90.0,top
D5,~,LED_0402_1005Metric,3.65546,73.8352,-135.0,top
D6,~,LED_0402_1005Metric,14.67956,74.0092,135.0,top
D7,~,LED_0402_1005Metric,3.68456,63.9082,-45.0,top
D8,~,LED_0402_1005Metric,14.34456,63.8782,45.0,top
D9,~,LED_0402_1005Metric,152.23956,78.5092,180.0,top
D10,~,LED_0402_1005Metric,10.98946,53.7592,-90.0,top
D11,~,LED_0402_1005Metric,13.73956,53.7742,-90.0,top
D12,~,LED_0402_1005Metric,4.92546,49.0702,-135.0,top
D13,~,LED_0402_1005Metric,152.98956,98.5092,90.0,top
D14,~,LED_0402_1005Metric,155.23956,98.5092,90.0,top
D15,~,LED_0402_1005Metric,151.73756,93.7742,-135.0,top
D16,~,LED_0402_1005Metric,15.21256,48.8162,135.0,top
D17,~,LED_0402_1005Metric,15.21256,38.9102,45.0,top
D18,~,LED_0402_1005Metric,5.81446,38.0212,-45.0,top
D19,~,LED_0402_1005Metric,154.09456,81.8882,135.0,top
D20,~,LED_0402_1005Metric,162.27856,94.2822,135.0,top
D21,~,LED_0402_1005Metric,163.08456,84.2482,45.0,top
D22,~,LED_0402_1005Metric,6.48946,29.7592,-90.0,top
D23,~,LED_0402_1005Metric,10.73946,29.7592,-90.0,top
D24,~,LED_0402_1005Metric,13.98956,29.7592,-90.0,top
D25,~,LED_0402_1005Metric,149.95956,88.1862,90.0,top
D26,~,LED_0402_1005Metric,152.73956,53.7592,-90.0,top
D27,~,LED_0402_1005Metric,154.98956,53.7592,-90.0,top
D28,~,LED_0402_1005Metric,151.61056,48.8162,-135.0,top
D29,~,LED_0402_1005Metric,162.40556,49.0702,135.0,top
D30,~,LED_0402_1005Metric,162.70456,38.7582,45.0,top
D31,~,LED_0402_1005Metric,152.73456,37.8082,-45.0,top
