Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,100.18756,92.9612,270,bottom
C2,10uF,C_0805_2012Metric,99.49456,52.8982,270,bottom
C3,10uF,C_0805_2012Metric,99.58556,11.3132,270,bottom
C4,10uF,C_0805_2012Metric,149.72256,22.0372,0,bottom
C7,.1uF,C_0603_1608Metric,43.38356,67.6402,180,bottom
C8,.1uF,C_0603_1608Metric,81.86456,68.1482,180,bottom
C9,.1uF,C_0603_1608Metric,63.06856,41.3512,270,bottom
C10,.1uF,C_0603_1608Metric,61.41756,30.6832,180,bottom
C11,.1uF,C_0603_1608Metric,46.55856,41.6052,270,bottom
C12,.1uF,C_0603_1608Metric,38.4302,29.6672,180,bottom
G***,LOGO,OH_LOGO_75.4mm_11.9mm,20.7772,69.5452,270,bottom
R1,1k,R_0603_1608Metric,29.66756,25.9842,0,bottom
R2,10K,R_0603_1608Metric,43.40656,96.1522,270,bottom
R3,2K,R_0603_1608Metric,29.66756,24.3332,180,bottom
R9,4.7k,R_0603_1608Metric,39.19256,67.6402,0,bottom
R10,4.7k,R_0603_1608Metric,39.19256,69.1642,180,bottom
R36,1k,R_0603_1608Metric,73.86356,24.5872,180,bottom
R37,2K,R_0603_1608Metric,73.86356,26.2382,0,bottom
R38,1k,R_0603_1608Metric,69.05556,6.1462,180,bottom
R39,2K,R_0603_1608Metric,69.03756,8.0772,0,bottom
R40,4.7k,R_0603_1608Metric,44.90756,41.6052,90,bottom
R41,4.7k,R_0603_1608Metric,61.54456,41.3512,90,bottom
U1,HT1621B,LQFP-48_7x7mm_P0.5mm,50.67256,95.2812,0,bottom
U2,GN1640T,SSOP-28_3.9x9.9mm_P0.635mm,105.92556,95.6052,180,bottom
U3,GN1640T,SSOP-28_3.9x9.9mm_P0.635mm,105.40456,54.8432,180,bottom
U4,GN1640T,SSOP-28_3.9x9.9mm_P0.635mm,105.87756,13.1772,180,bottom
U5,GN1640T,SSOP-28_3.9x9.9mm_P0.635mm,150.33256,13.9902,0,bottom
U6,AW9523BTQR,WQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,42.30356,64.0282,180,bottom
U7,AW9523BTQR,WQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,80.94256,64.4402,180,bottom
U8,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,41.85956,35.6362,270,bottom
U9,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,60.40156,35.7632,270,bottom
D1,~,LED_0402_1005Metric,11.23946,97.5092,90,top
D2,~,LED_0402_1005Metric,14.23956,97.5092,90,top
D3,~,LED_0402_1005Metric,10.95946,76.1992,0,top
D4,~,LED_0402_1005Metric,13.29956,75.7192,270,top
D5,~,LED_0402_1005Metric,3.65546,73.8352,225,top
D6,~,LED_0402_1005Metric,14.67956,74.0092,135,top
D7,~,LED_0402_1005Metric,3.68456,63.9082,315,top
D8,~,LED_0402_1005Metric,14.34456,63.8782,45,top
D9,~,LED_0402_1005Metric,152.23956,78.5092,180,top
D10,~,LED_0402_1005Metric,10.98946,53.7592,270,top
D11,~,LED_0402_1005Metric,13.73956,53.7742,270,top
D12,~,LED_0402_1005Metric,4.92546,49.0702,225,top
D13,~,LED_0402_1005Metric,152.98956,98.5092,90,top
D14,~,LED_0402_1005Metric,155.23956,98.5092,90,top
D15,~,LED_0402_1005Metric,151.73756,93.7742,225,top
D16,~,LED_0402_1005Metric,15.21256,48.8162,135,top
D17,~,LED_0402_1005Metric,15.21256,38.9102,45,top
D18,~,LED_0402_1005Metric,5.81446,38.0212,315,top
D19,~,LED_0402_1005Metric,154.09456,81.8882,135,top
D20,~,LED_0402_1005Metric,162.27856,94.2822,135,top
D21,~,LED_0402_1005Metric,163.08456,84.2482,45,top
D22,~,LED_0402_1005Metric,6.48946,29.7592,270,top
D23,~,LED_0402_1005Metric,10.73946,29.7592,270,top
D24,~,LED_0402_1005Metric,13.98956,29.7592,270,top
D25,~,LED_0402_1005Metric,149.95956,88.1862,90,top
D26,~,LED_0402_1005Metric,152.73956,53.7592,270,top
D27,~,LED_0402_1005Metric,154.98956,53.7592,270,top
D28,~,LED_0402_1005Metric,151.61056,48.8162,225,top
D29,~,LED_0402_1005Metric,162.40556,49.0702,135,top
D30,~,LED_0402_1005Metric,162.70456,38.7582,45,top
D31,~,LED_0402_1005Metric,152.73456,37.8082,315,top
D32,~,LED_0402_1005Metric,153.98956,29.7592,270,top
D33,~,LED_0402_1005Metric,157.98956,29.7592,270,top
D34,~,LED_0402_1005Metric,161.23956,29.7592,270,top
D35,~,LED_0402_1005Metric,1.12946,68.4692,270,top
D36,~,LED_0402_1005Metric,1.88456,70.4082,270,top
R4,4.7k,R_0603_1608Metric,45.92356,61.1632,90,top
R5,4.7k,R_0603_1608Metric,36.01756,60.2742,180,top
R6,4.7k,R_0603_1608Metric,47.44756,61.1632,270,top
R7,4.7k,R_0603_1608Metric,36.01756,61.9252,180,top
R8,4.7k,R_0603_1608Metric,36.01756,63.5762,0,top
R11,4.7k,R_0603_1608Metric,29.54056,68.6562,180,top
R12,4.7k,R_0603_1608Metric,29.54056,49.8602,180,top
