Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,LED,WS2812-2020,123.463249,-82.798093,90,top
D3,LED,WS2812-2020,123.463249,-90.418093,90,top
D4,LED,WS2812-2020,133.623249,-90.418093,270,top
D5,LED,WS2812-2020,133.623249,-82.928149,270,top
D6,LED,WS2812-2020,147.423249,-82.928149,90,top
D7,LED,WS2812-2020,147.423249,-90.548149,90,top
D8,LED,WS2812-2020,157.583249,-90.548149,270,top
D9,LED,WS2812-2020,157.583249,-82.928149,270,top
D10,LED,WS2812-2020,169.214799,-73.31075,180,top
D11,LED,WS2812-2020,177.749199,-73.31075,180,top
D12,LED,WS2812-2020,186.359799,-73.310751,180,top
D13,LED,WS2812-2020,194.894199,-73.310751,180,top
D14,LED,WS2812-2020,194.894199,-82.302351,0,top
D15,LED,WS2812-2020,186.359799,-82.302351,0,top
D16,LED,WS2812-2020,177.749199,-82.302351,0,top
D17,LED,WS2812-2020,169.214799,-82.302351,0,top
D18,LED,WS2812-2020,169.214799,-91.29395,180,top
D19,LED,WS2812-2020,177.749199,-91.29395,180,top
D20,LED,WS2812-2020,186.359799,-91.29395,180,top
D21,LED,WS2812-2020,194.894199,-91.29395,180,top
D22,LED,WS2812-2020,194.894199,-100.28555,0,top
D23,LED,WS2812-2020,186.359799,-100.28555,0,top
D24,LED,WS2812-2020,177.749199,-100.28555,0,top
D25,LED,WS2812-2020,169.214799,-100.28555,0,top
D26,LED,WS2812-2020,169.214799,-109.27715,180,top
D27,LED,WS2812-2020,177.749199,-109.27715,180,top
D28,LED,WS2812-2020,186.359799,-109.27715,180,top
D29,LED,WS2812-2020,194.894199,-109.27715,180,top
D30,LED,WS2812-2020,194.894199,-118.26875,0,top
D31,LED,WS2812-2020,186.359799,-118.26875,0,top
G***,LOGO,OH_LOGO_37.7mm_5.9mm,131.444999,-96.002097,0,top
R1,R,R_0603_1608Metric,163.194999,-86.858097,270,top
