Ref,Val,Package,PosX,PosY,Rot,Side
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",212.762000,-38.938000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",221.832000,-38.862000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",229.452000,-38.862000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.818000,-38.862000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",225.388000,-69.926000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",235.458000,-70.104000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.078000,-70.104000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",230.632000,-76.454000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",238.088000,-76.454000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",244.094000,-87.630000,90.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",238.252000,-97.790000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",230.976000,-97.790000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",224.536000,-87.630000,270.000000,top
"R1","R","R_0603_1608Metric",248.460847,-61.673153,225.000000,top
