Designator,MidX,MidY,Rotation,Layer
D1,13.1182,35.0268,0,top
D2,20.3592,35.0268,0,top
D3,37.1852,35.1028,0,top
D4,44.5772,35.1028,0,top
D5,61.0362,35.1028,0,top
D6,68.3512,35.1028,0,top
D7,13.0442,25.0192,0,top
D8,20.3962,25.019,0,top
D9,37.1742,25.0192,0,top
D10,44.4892,25.0192,0,top
D11,61.0362,25.019,0,top
D12,68.1732,25.019,0,top
D13,13.0442,14.91,0,top
D14,20.4352,14.9354,0,top
D15,37.1722,14.8846,0,top
D16,44.5772,14.8844,0,top
D17,61.0362,14.9098,0,top
D18,68.1852,14.91,0,top
D19,13.0442,4.8012,0,top
D20,20.3822,4.8012,0,top
D21,37.1852,4.7752,0,top
D22,44.5262,4.7752,0,top
D23,61.0612,4.7752,0,top
D24,68.1622,4.7752,0,top
