Designator,MidX,MidY,Rotation,Layer
D1,125.05,-59.045,0,top
D2,131.08,-59.08,0,top
D3,143.005,-95.89,270,top
D4,143.035,-101.78,270,top
D5,143.015,-108,270,top
D6,124.23,-143.585,0,top
D7,130.21,-143.59,0,top
D8,125.504,-149.719,0,top
D9,132.616,-149.719,0,top
D10,139.474,-149.719,0,top
D11,146.84,-149.719,0,top
D12,154.15,-149.719,0,top
D13,130.02,-157.367,0,top
D14,136.172,-157.339,0,top
D15,142.522,-157.226,0,top
D16,142.097,-163.202,120,top
D17,142.53,-171.935,60,top
D18,137.497,-178.947,0,top
D19,131.73,-178.935,0,top
D20,127.724,-174.599,45,top
D21,123.315,-170.69,270,top
D22,123.335,-164.43,270,top
R1,138.72,-52.66,270,top
