Designator,MidX,MidY,Rotation,Layer
D1,125.05,-59.045,0,top
D2,131.08,-59.08,0,top
D3,143.005,-95.89,270,top
D4,143.035,-101.78,270,top
D5,143.015,-108,270,top
D6,124.23,-143.585,0,top
D7,130.21,-143.59,0,top
D8,124.24,-147.855,0,top
D9,130.332,-147.795,0,top
D10,136.424,-147.795,0,top
D11,142.516,-147.795,0,top
D12,148.608,-147.785,0,top
D13,154.34,-147.835,0,top
D14,124.2,-152.115,0,top
D15,130.1,-152.105,0,top
D16,135.91,-152.105,0,top
D17,141.7,-152.085,0,top
D18,147.602,-152.033,0,top
D19,153.698,-152.005,0,top
D20,130.02,-157.367,0,top
D21,136.172,-157.339,0,top
D22,142.522,-157.226,0,top
D23,123.335,-164.43,270,top
D24,123.315,-170.69,270,top
D25,127.724,-174.599,45,top
D26,131.73,-178.935,0,top
D27,137.497,-178.947,0,top
D28,142.53,-171.935,60,top
D29,142.097,-163.202,120,top
R1,138.72,-52.66,270,top
