Designator,MidX,MidY,Rotation,Layer
D2,60.5536,-12.4714,0,top
D3,69.6606,-15.037,0,top
D4,78.3728,-14.9354,0,top
D5,86.7548,-14.9354,0,top
D6,95.6956,-12.4208,0,top
D7,60.7176,-21.0056,0,top
D8,69.813,-23.5714,0,top
D9,78.576,-23.444,0,top
D10,86.9558,-23.4694,0,top
D11,95.9242,-20.9548,0,top
D12,50.7122,-27.381,0,top
D13,61.0754,-30.4036,0,top
D14,93.9938,-28.6514,0,top
D15,50.7122,-34.7216,0,top
D16,61.05,-38.8618,0,top
D17,93.8668,-36.271,0,top
D18,50.7122,-42.4178,0,top
D19,61.0986,-45.9484,0,top
D20,93.8922,-44.4752,0,top
D21,50.7122,-50.0124,0,top
D22,60.6944,-52.9338,0,top
D23,74.258,-53.5178,0,top
D24,81.3954,-53.543,0,top
D25,89.5488,-53.5684,0,top
D26,97.2958,-51.7142,0,top
D27,137.301,-59.3092,0,top
D28,137.301,-66.624,0,top
D29,124.423,-67.6912,0,top
D30,131.736,-72.5676,0,top
D31,119.953,-76.9114,0,top
D32,126.935,-78.7906,0,top
D33,126.988,-85.8268,0,top
D34,117.87,-87.808,0,top
D35,131.242,-91.4908,0,top
D36,106.237,-62.5604,0,top
D37,106.285,-70.6118,0,top
D38,106.338,-79.426,0,top
D39,106.311,-88.3922,0,top
D40,106.426,-96.4692,0,top
D41,113.755,-100.152,0,top
D42,122.975,-99.0602,0,top
D43,131.332,-100.482,0,top
D44,140.552,-100.711,0,top
D45,149.747,-100.737,0,top
D46,64.4652,-82.6516,0,top
D47,72.5816,-82.8546,0,top
D48,80.5318,-83.0074,0,top
D49,88.609,-82.9562,0,top
D50,71.8312,-91.4654,0,top
D51,79.4142,-91.4402,0,top
D52,86.1314,-101.752,0,top
D53,75.9852,-112.294,0,top
D54,66.13,-102.362,0,top
D55,62.8534,-126.695,0,top
D56,62.9666,-133.985,0,top
D57,76.9758,-134.239,0,top
D58,84.7228,-134.214,0,top
D59,92.165,-134.137,0,top
D60,99.9882,-134.163,0,top
D61,107.786,-134.01,0,top
D62,115.635,-134.01,0,top
D63,123.102,-133.959,0,top
D64,130.875,-134.036,0,top
D65,139.661,-133.985,0,top
D66,148.502,-133.934,0,top
D67,80.5688,-147.091,0,top
D68,88.5328,-147.142,0,top
D69,96.6608,-147.117,0,top
D70,85.815,-153.721,0,top
D71,93.9176,-153.746,0,top
D72,99.7458,-163.703,0,top
D73,93.9408,-174.472,0,top
D74,86.741,-174.447,0,top
D75,80.3264,-163.703,0,top
D76,71.829572,-35.060522,0,top
D77,81.608572,-35.060522,0,top
D78,81.608572,-44.331522,180,top
D79,71.829572,-44.331522,180,top
R1,92.075,-60.071,0,top
