Designator,MidX,MidY,Rotation,Layer
C2,55,-29.7875,90,top
C3,55,-35.5375,270,top
C4,55,-43.2125,270,top
C5,52.3625,-53.55,0,top
C6,62.3125,-56.55,0,top
C8,63.9375,-24.55,180,top
C9,62.2125,-16.05,0,top
C10,71.2625,-18.55,0,top
C11,80,-18.5,0,top
C12,88.3625,-18.5,0,top
C13,97.6125,-24.55,0,top
C14,97.4125,-16,0,top
C15,98.25,-29.4125,270,top
C16,91.2,-57.15,0,top
C17,98.2,-45.3125,270,top
C18,98.15,-37.0625,270,top
C19,110.7,-72.9875,90,top
C20,151.3625,-104.5,0,top
C21,110.55,-89.1625,270,top
C22,110.6,-80.2125,270,top
C23,115.3625,-103.7,0,top
C24,124.6125,-102.6,0,top
C25,142.2125,-104.25,0,top
C26,133.0125,-104.05,0,top
C27,66.0625,-86.2,0,top
C28,67.7625,-105.9,0,top
C29,80.2,-114.6875,90,top
C30,90.2625,-86.55,0,top
C31,87.8125,-105.25,0,top
C32,83.75,-92.2625,270,top
C33,86.35,-137.75,0,top
C34,80.1875,-137.75,180,top
C35,93.8125,-137.65,0,top
C36,101.6125,-137.7,0,top
C37,98.15,-156.2125,90,top
C38,117.2625,-137.6,0,top
C39,109.35,-137.6,0,top
C40,132.5625,-137.55,0,top
C41,124.7125,-137.5,0,top
C42,141.3125,-137.5,0,top
C43,150.2125,-137.55,0,top
C44,100.9,-149.6375,90,top
C45,102.9875,-167.2,180,top
C46,98.2,-175.2625,270,top
C47,88.4125,-178,0,top
C48,83.35,-157.95,90,top
C49,67.2,-136.3875,90,top
C50,67.1,-129.0625,90,top
C51,141.6,-61.7,90,top
C52,141.6,-69,90,top
C53,136,-71.7375,270,top
C54,122.15,-90.2375,90,top
C55,135.5,-93.8625,90,top
D2,60.5536,-12.4714,0,top
D3,69.6606,-15.037,0,top
D4,78.3728,-14.9354,0,top
D5,86.7548,-14.9354,0,top
D6,95.6956,-12.4208,0,top
D7,60.7176,-21.0056,0,top
D8,69.813,-23.5714,0,top
D9,78.576,-23.444,0,top
D10,86.9558,-23.4694,0,top
D11,95.9242,-20.9548,0,top
D12,50.7122,-27.381,0,top
D13,61.0754,-30.4036,0,top
D14,93.9938,-28.6514,0,top
D15,50.7122,-34.7216,0,top
D16,61.05,-38.8618,0,top
D17,93.8668,-36.271,0,top
D18,50.7122,-42.4178,0,top
D19,61.0986,-45.9484,0,top
D20,93.8922,-44.4752,0,top
D21,50.7122,-50.0124,0,top
D22,60.6944,-52.9338,0,top
D23,74.258,-53.5178,0,top
D24,81.3954,-53.543,0,top
D25,89.5488,-53.5684,0,top
D26,97.2958,-51.7142,0,top
D27,137.301,-59.3092,0,top
D28,137.301,-66.624,0,top
D29,124.423,-67.6912,0,top
D30,131.736,-72.5676,0,top
D31,119.953,-76.9114,0,top
D32,126.935,-78.7906,0,top
D33,126.988,-85.8268,0,top
D34,117.87,-87.808,0,top
D35,131.242,-91.4908,0,top
D36,106.237,-62.5604,0,top
D37,106.285,-70.6118,0,top
D38,106.338,-79.426,0,top
D39,106.311,-88.3922,0,top
D40,106.426,-96.4692,0,top
D41,113.755,-100.152,0,top
D42,122.975,-99.0602,0,top
D43,131.332,-100.482,0,top
D44,140.552,-100.711,0,top
D45,149.747,-100.737,0,top
D46,64.4652,-82.6516,0,top
D47,72.5816,-82.8546,0,top
D48,80.5318,-83.0074,0,top
D49,88.609,-82.9562,0,top
D50,71.8312,-91.4654,0,top
D51,79.4142,-91.4402,0,top
D52,86.1314,-101.752,0,top
D53,75.9852,-112.294,0,top
D54,66.13,-102.362,0,top
D55,62.8534,-126.695,0,top
D56,62.9666,-133.985,0,top
D57,76.9758,-134.239,0,top
D58,84.7228,-134.214,0,top
D59,92.165,-134.137,0,top
D60,99.9882,-134.163,0,top
D61,107.786,-134.01,0,top
D62,115.635,-134.01,0,top
D63,123.102,-133.959,0,top
D64,130.875,-134.036,0,top
D65,139.661,-133.985,0,top
D66,148.502,-133.934,0,top
D67,80.5688,-147.091,0,top
D68,88.5328,-147.142,0,top
D69,96.6608,-147.117,0,top
D70,85.815,-153.721,0,top
D71,93.9176,-153.746,0,top
D72,99.7458,-163.703,0,top
D73,93.9408,-174.472,0,top
D74,86.741,-174.447,0,top
D75,80.3264,-163.703,0,top
D76,76.6434,-33.0452,180,top
D77,83.4388,-39.8896,90,top
D78,76.6942,-46.558,180,top
D79,69.2656,-39.7648,90,top
D80,77.3,-59.3,270,top
R1,72.9125,-57.85,0,top
