Designator,MidX,MidY,Rotation,Layer
C2,44.9875,-82.1,0,top
C3,59.5,-80.7875,90,top
C4,56.7,-86,180,top
C5,41.3925,-93.54,0,top
C6,42.3025,-100.61,0,top
C7,30.36,-111.402,270,top
C8,30.42,-118.152,270,top
C9,45.4725,-109.47,0,top
C10,61.4425,-109.13,0,top
C11,62.7225,-97.8,0,top
C12,53.7425,-109.38,0,top
C13,39.0925,-122.28,0,top
C14,50.49,-117.412,270,top
C15,62.0425,-119.82,0,top
C16,69.7625,-119.81,0,top
C17,77.3225,-119.84,0,top
C18,88.0525,-119.99,0,top
C19,95.11,-120.06,0,top
C20,102.492,-113.86,0,top
C21,102.11,-121.99,0,top
C22,104.05,-105.482,270,top
C23,90.86,-105.002,270,top
C24,93.75,-111.068,270,top
C25,81.0725,-113.76,0,top
C26,79.9825,-79.5,0,top
C27,87.9425,-79.61,0,top
C28,96.6925,-79.63,0,top
C29,99.67,-70.8025,270,top
C30,108.12,-76.9025,270,top
C31,127.688,-82.67,0,top
C32,46.3025,-128.25,0,top
C33,59.54,-125.432,270,top
C34,55.88,-131.392,270,top
C35,65.91,-141.262,270,top
C36,76.0325,-147.2,0,top
C37,48.9925,-155.03,0,top
C38,41.7,-144.9875,90,top
C39,89.1285,-153.924,0,top
C40,82.0825,-154.08,0,top
C41,96.8125,-144.8,0,top
C42,104.612,-145,0,top
C43,118.112,-119.7,0,top
C44,129.5,-123.112,270,top
C45,145.312,-130.1,0,top
C46,128.7,-117.012,270,top
C47,134.212,-119.7,0,top
C48,152.312,-130.1,0,top
C49,148.812,-144.1,0,top
C50,129.9,-156.512,270,top
C51,126.912,-109.2,0,top
C52,132.088,-77.1,180,top
C53,141,-74.3125,270,top
C54,144.3,-79.9125,270,top
C55,137.3,-83.4125,270,top
C56,121.812,-92,0,top
C57,142.012,-109.1,0,top
C58,134.412,-109.2,0,top
C59,123.312,-99.7,0,top
C60,55.9125,-155,0,top
C61,89.3,-124.812,270,top
C62,89.3,-130.512,270,top
D2,26.162,-117.348,0,top
D3,26.1112,-110.592,0,top
D4,40.6146,-97.028,0,top
D5,40.64,-90.17,0,top
D6,46.863,-78.4098,0,top
D7,55.1688,-78.4098,0,top
D8,51.6636,-84.4042,0,top
D9,61.0362,-94.2594,0,top
D10,59.7916,-105.588,0,top
D11,52.07,-105.816,0,top
D12,43.815,-105.918,0,top
D13,78.3336,-76.0476,0,top
D14,86.3092,-76.073,0,top
D15,88.4544,-70.028,0,top
D16,95.4162,-69.9772,0,top
D17,95.0468,-76.0476,0,top
D18,103.861,-76.1238,0,top
D19,126.023,-79.1212,0,top
D20,128.829,-73.4822,0,top
D21,136.703,-73.4822,0,top
D22,139.979,-79.0702,0,top
D23,133.008,-82.474,0,top
D24,121.514,-88.392,0,top
D25,121.691,-96.0882,0,top
D26,125.247,-105.715,0,top
D27,132.766,-105.664,0,top
D28,140.335,-105.639,0,top
D29,133.807,-116.129,0,top
D30,124.384,-116.129,0,top
D31,116.484,-116.103,0,top
D32,100.471,-118.389,0,top
D33,100.838,-110.363,0,top
D34,99.7458,-104.673,0,top
D35,86.614,-104.191,0,top
D36,89.4842,-110.261,0,top
D37,93.4604,-116.485,0,top
D38,86.3854,-116.459,0,top
D39,81.7626,-110.185,0,top
D40,75.6666,-116.256,0,top
D41,68.0974,-116.256,0,top
D42,60.4012,-116.256,0,top
D43,46.2026,-116.611,0,top
D44,37.4396,-118.72,0,top
D45,46.8884,-124.638,0,top
D46,55.2704,-124.612,0,top
D47,51.5874,-130.607,0,top
D48,61.6458,-140.437,0,top
D49,54.3306,-151.435,0,top
D50,47.334,-151.46,0,top
D51,41.3766,-140.564,0,top
D52,84.9884,-123.977,0,top
D53,84.963,-129.667,0,top
D54,74.422,-137.16,0,top
D55,74.3712,-143.662,0,top
D56,80.4418,-150.571,0,top
D57,87.503,-150.495,0,top
D58,95.123,-141.351,0,top
D59,102.972,-141.402,0,top
D60,125.578,-155.753,0,top
D61,147.091,-140.564,0,top
D62,150.673,-126.568,0,top
D63,143.713,-126.543,0,top
D64,125.171,-122.276,0,top
R1,74,-110.175,270,top
