Designator,MidX,MidY,Rotation,Layer
C2,39.1,-101.862,270,top
C3,39.15,-108.512,270,top
C4,39.05,-115.212,270,top
C5,58.3,-119.912,270,top
C6,67.45,-119.912,270,top
C7,62.45,-126.112,270,top
C8,72.05,-136.138,270,top
C9,61.8,-146.538,270,top
C10,47.1625,-138.35,0,top
C11,96.8125,-122,0,top
C12,110,-119.188,270,top
C13,106.65,-125.212,270,top
C14,113.9,-138.3,0,top
C15,110.65,-146.862,270,top
C16,100.562,-149.6,0,top
C17,87.0125,-138.15,0,top
C18,94.0125,-138.1,0,top
C19,146.75,-119.512,270,top
C20,155.45,-119.462,270,top
C21,155.45,-125.562,270,top
C22,160.91,-135.87,270,top
C23,150.6,-146.752,270,top
C24,139.0575,-138.7,180,top
C25,138.98,-129.94,90,top
D2,34.8234,-101.067,0,top
D3,34.8488,-107.696,0,top
D4,34.761,-114.402,0,top
D5,54.0004,-119.101,0,top
D6,63.1306,-119.151,0,top
D7,58.166,-125.298,0,top
D8,67.781,-135.331,0,top
D9,57.5194,-145.72,0,top
D10,47.842,-134.772,0,top
D11,98.0948,-118.389,0,top
D12,105.754,-118.389,0,top
D13,102.376,-124.409,0,top
D14,112.243,-134.772,0,top
D15,106.364,-146.024,0,top
D16,98.8938,-146.05,0,top
D17,85.3302,-134.594,0,top
D18,92.3682,-134.569,0,top
D19,142.455,-118.694,0,top
D20,151.155,-118.694,0,top
D21,151.167,-124.739,0,top
D22,156.63,-135.052,0,top
D23,146.355,-145.948,0,top
D24,137.072,-134.747,0,top
D25,143.117,-124.765,0,top
R1,117.19,-139.68,180,top
