Designator,MidX,MidY,Rotation,Layer
C2,113.82,-35.395,90,top
C3,123.038,-44.8639,90,top
C4,145.674,-51.7652,180,top
C5,137.404,-64.3966,0,top
C6,117.686,-74.1375,90,top
C7,140.139,-35.4153,90,top
C8,112.123,-77.4675,180,top
C9,100.957,-73.9977,90,top
C10,117.419,-106.291,90,top
C11,105.766,-105.771,180,top
C12,121.735,-94.356,90,top
C13,149.352,-90.932,180,top
C14,149.591,-100.076,0,top
C15,143.203,-118.359,180,top
C17,133.165,-121.072,90,top
C18,107.942,-127.427,0,top
C19,112.37,-135.412,0,top
C20,120.894,-162.164,0,top
C21,134.376,-151.178,0,top
C22,147.147,-114.364,90,top
D1,111.365,-31.064,0,top
D2,119.837,-31.0388,0,top
D3,128.84,-31.0132,0,top
D4,137.68,-31.064,0,top
D5,138.012,-40.5128,0,top
D6,140.575,-50.1648,0,top
D7,135.749,-60.782,0,top
D8,122.569,-61.1376,0,top
D9,116.789,-50.5968,0,top
D10,120.599,-40.5384,0,top
D11,98.5012,-69.6976,0,top
D12,107.086,-69.7484,0,top
D13,115.226,-69.7736,0,top
D14,107.098,-75.8696,0,top
D15,117.512,-79.9844,0,top
D16,119.29,-90.0428,0,top
D17,114.972,-101.981,0,top
D18,100.646,-104.165,0,top
D19,96.3676,-89.7128,0,top
D20,98.5128,-80.4416,0,top
D21,128.727,-90.1192,0,top
D22,136.46,-90.0428,0,top
D23,144.12,-90.0684,0,top
D24,129.286,-96.266,0,top
D25,139.852,-96.4184,0,top
D26,144.678,-102.565,0,top
D27,144.69,-110.007,0,top
D28,137.984,-116.764,0,top
D29,130.72,-116.764,0,top
D30,124.421,-106.045,0,top
D31,106.285,-123.774,0,top
D32,117.512,-123.723,0,top
D33,128.067,-123.749,0,top
D34,137.73,-123.723,0,top
D35,110.705,-131.851,0,top
D36,118.071,-131.8,0,top
D37,127.926,-131.699,0,top
D38,136.308,-131.75,0,top
D39,128.055,-137.541,0,top
D40,132.729,-147.599,0,top
D41,126.504,-158.623,0,top
D42,119.239,-158.623,0,top
D43,112.838,-147.65,0,top
D44,117.41,-137.592,0,top
R1,128.422,-66.1212,90,top
