Designator,MidX,MidY,Rotation,Layer
C2,116.789,-56.322,270,top
C3,95.9179,-61.3969,0,top
C4,93.3297,-68.5622,0,top
C5,99.5146,-94.6429,0,top
C6,120.78,-92.0039,180,top
C7,118.148,-79.9669,90,top
C8,119.408,-66.6166,180,top
C9,166.202,-55.3821,90,top
C10,177.211,-51.823,225,top
C11,166.627,-66.9518,90,top
C12,201.892,-63.3731,90,top
C13,205.105,-77.5868,0,top
C14,99.3826,-85.8445,270,top
C15,90.2588,-80.7593,0,top
C16,166.34,-83.0352,90,top
C17,104.386,-61.529,0,top
D1,94.2848,-57.8104,0,top
D2,102.729,-57.8864,0,top
D3,111.748,-57.8356,0,top
D4,114.046,-65.024,0,top
D5,115.711,-75.6156,0,top
D6,111.291,-84.8104,0,top
D7,115.457,-90.3984,0,top
D8,104.699,-93.1672,0,top
D9,97.8408,-91.0336,0,top
D10,94.9568,-85.0136,0,top
D11,88.646,-77.1652,0,top
D12,91.694,-64.9224,0,top
D13,163.74,-51.0284,0,top
D14,171.438,-51.0288,0,top
D15,164.174,-62.6108,0,top
D16,171.235,-62.6112,0,top
D17,184.189,-59.0552,0,top
D18,191.883,-59.004,0,top
D19,199.429,-59.004,0,top
D20,163.92,-78.5624,0,top
D21,171.286,-78.562,0,top
D22,211.164,-67.4876,0,top
D23,211.012,-74.5488,0,top
R1,179.621,-80.9067,90,top
