Designator,MidX,MidY,Rotation,Layer
C2,126.05512,-95.46326,90,top
C3,124.9681,-98.60534,180,top
C4,136.330007,-125.396673,90,top
C5,153.41102,-122.62358,180,top
C6,160.13684,-116.53256,90,top
C7,159.08518,-99.86518,0,top
C8,154.3812,-83.6168,180,top
C9,178.05136,-83.67522,180,top
C10,182.89788,-89.916,180,top
C11,197.22338,-109.54502,90,top
C12,169.61104,-106.69788,90,top
C13,211.02584,-106.61396,180,top
C14,206.0194,-110.94964,270,top
C15,206.97454,-135.77062,180,top
C16,131.68386,-147.39366,180,top
D1,108.673,-91.0336,0,top
D2,116.14,-91.008,0,top
D3,123.608,-91.0084,0,top
D4,111.822,-96.9008,0,top
D5,119.685,-97.028,0,top
D6,141.794,-88.3668,0,top
D7,149.137,-88.3668,0,top
D8,149.188,-82.0164,0,top
D9,163.22,-82.0928,0,top
D10,172.962,-82.0672,0,top
D11,177.636,-88.3156,0,top
D12,157.418,-96.2912,0,top
D13,164.53,-96.2912,0,top
D14,157.621,-104.318,0,top
D15,165.088,-104.318,0,top
D16,157.672,-112.192,0,top
D17,165.139,-112.141,0,top
D18,133.897,-120.98,0,top
D19,141.314,-120.98,0,top
D20,148.324,-121.031,0,top
D21,104.445,-145.745,0,top
D22,111.85,-145.771,0,top
D23,119.114,-145.77,0,top
D24,126.43,-145.745,0,top
D25,196.534,-105.131,0,top
D26,205.627,-105.029,0,top
D27,201.563,-110.668,0,top
D28,201.676,-135.382,0,top
D29,222.961,-104.064,0,top
D30,223,-109.804,0,top
D31,223,-115.494,0,top
D32,223.102,-121.183,0,top
R1,170.282,-121.818,180,top
