Designator,MidX,MidY,Rotation,Layer
D1,73.3044,-46.736,0,top
D2,84.95,-46.9,0,top
D3,89.9,-53,0,top
D4,89.9,-60.45,0,top
D5,82.7,-66.9,0,top
D6,74.35,-66.9,0,top
D7,102.831,-69.0116,0,top
D8,104.648,-63.1952,0,top
D9,105.32,-44.5768,0,top
D10,113.05,-44.6,0,top
D11,114,-75.55,0,top
D12,109.25,-85.3,0,top
D13,112.55,-96.15,0,top
D14,123.05,-97.1,0,top
D15,126,-85.65,0,top
D16,121.25,-75.55,0,top
D17,129.438,-56.4388,0,top
D18,134.15,-46.75,0,top
D19,145.75,-46.85,0,top
D20,149.7,-56.6,0,top
D21,143.35,-66.55,0,top
D22,134.6,-66.45,0,top
D23,140.5,-76.7,0,top
D24,151.65,-76.75,0,top
D25,158.6,-80.35,0,top
D26,155.8,-86.6,0,top
D27,145.7,-96.4,0,top
D28,135.95,-85.3,0,top
D29,160.032,-92.6844,0,top
D30,166.9,-91.35,0,top
D31,176.45,-95.65,0,top
D32,185.1,-93.3,0,top
D33,192.05,-92.7,0,top
D34,187.1,-86.7,0,top
D35,194.35,-86.75,0,top
D36,190.45,-80.8,0,top
D37,182.15,-75.55,0,top
D38,170.9,-75.55,0,top
D39,165.9,-81.45,0,top
D40,163.45,-63.05,0,top
D41,160,-53.5,0,top
D42,162.15,-44.4,0,top
D43,173,-44.45,0,top
D44,178.9,-52.95,0,top
D45,176.5,-62.45,0,top
D46,186.55,-56.75,0,top
D47,191.55,-47.25,0,top
D48,202.45,-47.35,0,top
D49,207.05,-53.25,0,top
D50,207.05,-59.15,0,top
D51,200.65,-66.2,0,top
D52,193.65,-66.25,0,top
D53,220.777,-68.8848,0,top
D54,222.414,-63.1188,0,top
D55,233,-68.75,0,top
D56,226.6,-45,0,top
