Designator,MidX,MidY,Rotation,Layer
C2,91.529,-97.15754,180,top
C3,126.96962,-95.20682,180,top
C4,125.2473,-88.06942,180,top
C5,124.48032,-70.46966,90,top
C6,124.5108,-79.34442,90,top
C7,140.00998,-77.97292,0,top
C8,101.563853,-93.937407,225,top
C9,162.76056,-76.30414,180,top
C11,161.379,-96.42856,180,top
C12,163.710033,-93.344413,135,top
C13,165.47084,-67.42948,270,top
C14,147.6248,-69.51462,270,top
C15,141.43726,-85.4202,0,top
D1,91.6316,-68.1988,0,top
D2,96.7856,-73.8884,0,top
D3,101.9048,-79.9592,0,top
D4,101.8148,-86.8424,0,top
D5,96.1136,-93.5228,0,top
D6,88.302,-93.5988,0,top
D7,81.37,-88.1128,0,top
D8,81.3932,-80.2388,0,top
D9,86.6532,-73.8376,0,top
D10,122.0216,-66.1668,0,top
D11,122.0608,-74.9044,0,top
D12,122.01,-84.2516,0,top
D13,121.8808,-93.5988,0,top
D14,143.0644,-68.7068,0,top
D15,152.2084,-68.402,0,top
D16,161.126,-68.5544,0,top
D17,146.5072,-74.676,0,top
D18,157.5424,-74.7012,0,top
D19,162.0404,-81.458,0,top
D20,161.708,-88.722,0,top
D21,156.1476,-94.818,0,top
D22,149.0472,-95.3516,0,top
D23,142.5332,-89.4588,0,top
D24,141.6696,-81.61,0,top
R1,131.43494,-65.99682,0,top
