Designator,MidX,MidY,Rotation,Layer
C2,64.4125,-54.5,0,top
C3,104.4125,-54.8,0,top
C4,147.7125,-55,0,top
C5,161.3,-78.1875,270,top
C6,139.7,-93.4,270,top
C7,54.0125,-95.7,0,top
C8,111,-93.5,270,top
C9,64.5,-98.7875,270,top
C10,48.5,-102.7125,270,top
C11,48.8,-73.4125,270,top
C12,101.9,-118.2125,270,top
C13,89.6,-126,270,top
C14,128.4125,-120.3,0,top
C15,128.3,-125.8875,270,top
C16,104,-126.0125,270,top
C17,167.3,-118.5,270,top
C18,152.1125,-112.7,0,top
C19,152.5875,-105.6,180,top
C20,174.5125,-109.5,0,top
C21,148.1,-84.6875,270,top
C22,149.7,-78.4,270,top
C23,161.9,-84.4125,270,top
C24,72.1875,-54.5,0,top
C25,80.2125,-54.4,0,top
C26,122.3125,-54.9,0,top
C27,87.5125,-54.4,0,top
C28,155.9125,-54.9,0,top
C29,48.9,-80.6125,270,top
C30,113.9125,-54.8,0,top
C31,48.9,-87.8125,270,top
C32,71.8,-78.0125,270,top
C33,84,-77.7125,270,top
C34,70.2,-84.6125,270,top
C35,84.8,-84.5125,270,top
C36,82.6125,-96.2,0,top
C37,72.1,-93.0125,270,top
C38,86.4875,-96.175,0,top
C39,167,-98.7875,270,top
C40,143.4,-125.9125,270,top
C41,167.9125,-95.4,0,top
C42,92.3,-118.2625,270,top
C43,124.9,-95.875,0,top
C44,140.15,-117.5125,270,top
C45,99.4625,-96.2,0,top
C46,123.15,-79.0625,270,top
C47,110.5,-79.1125,270,top
C48,123.1,-84.6625,270,top
C49,109.1,-84.9125,270,top
C50,52.2625,-111.4,0,top
C51,62.0125,-121.35,0,top
C52,72.1125,-112.05,0,top
C53,164.9,-62.9875,270,top
C54,164.875,-70.7375,270,top
C55,124.6125,-74.6,180,top
C56,124.4625,-65.725,180,top
D2,154.28,-51.3588,0,top
D3,146.05,-51.4096,0,top
D4,120.687,-51.2828,0,top
D5,112.231,-51.257,0,top
D6,102.729,-51.257,0,top
D7,85.8404,-50.8506,0,top
D8,78.576,-50.9018,0,top
D9,70.5728,-50.876,0,top
D10,62.7496,-50.9014,0,top
D11,44.5146,-72.6184,0,top
D12,44.577,-79.7814,0,top
D13,44.5654,-86.9948,0,top
D14,44.2098,-101.854,0,top
D15,52.3864,-92.1256,0,top
D16,60.235,-92.1764,0,top
D17,67.781,-92.2526,0,top
D18,65.8738,-83.769,0,top
D19,67.5386,-77.216,0,top
D20,63.75,-69.3,0,top
D21,64.8,-61.45,0,top
D22,82.425,-61.775,0,top
D23,83.125,-69.8,0,top
D24,79.7422,-76.8602,0,top
D25,80.4926,-83.7184,0,top
D26,80.9498,-92.583,0,top
D27,89.4472,-92.659,0,top
D28,97.79,-92.6338,0,top
D29,106.731,-92.6338,0,top
D30,104.812,-84.0992,0,top
D31,106.211,-78.308,0,top
D32,103.1,-71.2,0,top
D33,103.175,-62.475,0,top
D34,121.225,-62.125,0,top
D35,121.375,-70.95,0,top
D36,118.821,-78.2066,0,top
D37,118.81,-83.871,0,top
D38,127.152,-92.5068,0,top
D39,135.421,-92.5574,0,top
D40,143.801,-83.8452,0,top
D41,145.403,-77.5714,0,top
D42,141.375,-70.375,0,top
D43,141.65,-62.925,0,top
D44,160.175,-62.175,0,top
D45,160.55,-69.95,0,top
D46,156.972,-77.3176,0,top
D47,157.621,-83.5658,0,top
D48,158.789,-91.8462,0,top
D49,165.749,-91.8974,0,top
D50,162.726,-97.9676,0,top
D51,172.835,-105.918,0,top
D52,162.916,-117.805,0,top
D53,150.433,-109.119,0,top
D54,150.458,-102.21,0,top
D55,139.079,-125.044,0,top
D56,136.075,-116.9,0,top
D57,126.575,-116.925,0,top
D58,123.94,-125.069,0,top
D59,99.658,-125.247,0,top
D60,97.6006,-117.399,0,top
D61,88.0248,-117.449,0,top
D62,85.2816,-125.222,0,top
D63,70.485,-108.433,0,top
D64,60.161,-97.9676,0,top
D65,50.583,-107.823,0,top
D66,60.4404,-117.805,0,top
R1,115.6125,-91.3,180,top
