Designator,MidX,MidY,Rotation,Layer
C2,127.64,-148.224,180,top
C3,146.959,-148.163,180,top
C4,199.756,-139.192,90,top
C5,197.917,-125.161,90,top
C6,189.248,-138.103,225,top
C7,171.364,-126.238,0,top
C8,127.472,-128.092,180,top
C9,176.962,-105.89,180,top
C10,177.66,-96.5555,90,top
C11,204.752,-67.945,270,top
C12,204.8,-50.3936,270,top
C13,197.777,-44.8869,270,top
C14,110.541,-84.9579,0,top
C15,134.363,-61.2877,0,top
D2,85.7134,-63.703,0,top
D3,104.789,-47.066,0,top
D4,112.028,-35.8138,0,top
D5,119.392,-35.8138,0,top
D6,116.115,-42.2908,0,top
D7,127.471,-46.3548,0,top
D8,132.551,-57.9372,0,top
D9,148.045,-54.3814,0,top
D10,155.092,-54.356,0,top
D11,183.769,-43.3578,0,top
D12,193.587,-43.9672,0,top
D13,200.75,-49.352,0,top
D14,203.302,-57.2516,0,top
D15,200.355,-66.9798,0,top
D16,199.201,-73.3554,0,top
D17,192.216,-76.276,0,top
D18,184.314,-76.3522,0,top
D19,176.62,-72.3644,0,top
D20,176.53,-65.8114,0,top
D21,173.724,-57.1244,0,top
D22,175.909,-49.225,0,top
D23,108.724,-81.7624,0,top
D24,115.748,-80.1116,0,top
D25,122.772,-81.737,0,top
D26,175.35,-87.2996,0,top
D27,173.293,-94.3354,0,top
D28,173.851,-102.667,0,top
D29,100.787,-123.292,0,top
D30,110.084,-123.292,0,top
D31,117.489,-123.241,0,top
D32,124.677,-123.317,0,top
D33,134.634,-123.164,0,top
D34,143.942,-123.088,0,top
D35,151.409,-123.088,0,top
D36,158.584,-123.088,0,top
D37,169.531,-122.86,0,top
D38,178.892,-122.834,0,top
D39,186.309,-122.86,0,top
D40,193.497,-122.86,0,top
D41,135.216,-134.29,0,top
D42,142.138,-134.29,0,top
D43,151.359,-134.239,0,top
D44,158.801,-134.214,0,top
D45,165.975,-134.239,0,top
D46,184.785,-136.906,0,top
D47,189.789,-131.089,0,top
D48,195.174,-136.931,0,top
D49,202.223,-132.461,0,top
D50,209.409,-132.435,0,top
D51,100.674,-145.009,0,top
D52,109.994,-144.983,0,top
D53,117.461,-145.008,0,top
D54,124.599,-145.034,0,top
D55,134.581,-144.881,0,top
D56,143.903,-144.856,0,top
D57,151.322,-144.831,0,top
D58,158.51,-144.856,0,top
D59,169.48,-144.602,0,top
D60,178.828,-144.577,0,top
D61,186.27,-144.526,0,top
D62,193.345,-144.602,0,top
D63,85.8128,-75.1584,0,top
R1,130.912,-102.997,180,top
