Designator,MidX,MidY,Rotation,Layer
C2,128.0175,-148.57,180,top
C3,147.1375,-148.43,180,top
C4,199.81,-137.6975,270,top
C5,197.917,-125.161,90,top
C6,212.6475,-136,180,top
C7,171.2125,-126.4,0,top
C8,126.2875,-126.8,0,top
C9,177.1375,-106.21,180,top
C10,176.5625,-97.9,180,top
C11,204.73,-67.7575,270,top
C12,205.28,-49.8625,270,top
C13,197.765,-44.2475,270,top
C14,110.3825,-85.36,0,top
C15,134.2375,-61.5,0,top
C16,123.65,-36.6125,270,top
C17,131.775,-47.1375,270,top
C18,121.1,-43.9,180,top
C19,149.7125,-57.925,0,top
C20,156.7625,-57.925,0,top
C21,90.125,-75.9875,270,top
C22,90,-64.5125,270,top
C23,127.175,-82.5125,270,top
C24,102.4125,-126.9,0,top
C25,111.7125,-126.8,0,top
C26,153.1125,-126.6,0,top
C27,160.3125,-126.6,0,top
C28,119.1125,-126.8,0,top
C29,136.3125,-126.7,0,top
C30,179.4125,-126.4,0,top
C31,102.2925,-148.52,0,top
C32,145.6125,-126.7,0,top
C33,119.0225,-148.53,0,top
C34,136.1925,-148.43,0,top
C35,111.6925,-148.57,0,top
D2,85.7134,-63.703,0,top
D3,103.825,-47.625,0,top
D4,112.028,-35.8138,0,top
D5,119.392,-35.8138,0,top
D6,116.115,-42.2908,0,top
D7,127.471,-46.3548,0,top
D8,132.551,-57.9372,0,top
D9,148.045,-54.3814,0,top
D10,155.092,-54.356,0,top
D11,183.769,-43.3578,0,top
D12,193.45,-43.425,0,top
D13,201,-49.077,0,top
D14,204.202,-56.3016,0,top
D15,200.355,-66.9798,0,top
D16,199.201,-73.3554,0,top
D17,192.216,-76.276,0,top
D18,184.314,-76.3522,0,top
D19,176.62,-72.3644,0,top
D20,175.275,-66.35,0,top
D21,172.174,-56.7994,0,top
D22,175.909,-49.225,0,top
D23,108.724,-81.7624,0,top
D24,115.748,-80.1116,0,top
D25,122.772,-81.737,0,top
D26,175.35,-87.2996,0,top
D27,173.293,-94.3354,0,top
D28,173.851,-102.667,0,top
D29,100.787,-123.292,0,top
D30,110.084,-123.292,0,top
D31,117.489,-123.241,0,top
D32,124.677,-123.317,0,top
D33,134.634,-123.164,0,top
D34,143.942,-123.088,0,top
D35,151.409,-123.088,0,top
D36,158.584,-123.088,0,top
D37,169.531,-122.86,0,top
D38,178.892,-122.834,0,top
D39,186.309,-122.86,0,top
D40,193.497,-122.86,0,top
D41,135.216,-134.29,0,top
D42,142.138,-134.29,0,top
D43,151.359,-134.239,0,top
D44,158.801,-134.214,0,top
D45,165.975,-134.239,0,top
D46,184.785,-136.906,0,top
D47,189.789,-131.089,0,top
D48,195.174,-136.931,0,top
D49,202.223,-132.461,0,top
D50,209.409,-132.435,0,top
D51,100.674,-145.009,0,top
D52,109.994,-144.983,0,top
D53,117.461,-145.008,0,top
D54,124.599,-145.034,0,top
D55,134.581,-144.881,0,top
D56,143.903,-144.856,0,top
D57,151.322,-144.831,0,top
D58,158.51,-144.856,0,top
D59,169.48,-144.602,0,top
D60,178.828,-144.577,0,top
D61,186.27,-144.526,0,top
D62,193.345,-144.602,0,top
D63,85.8128,-75.1584,0,top
D64,106.275,-55.6,0,top
D65,113.45,-47.825,0,top
D66,120.4,-48.1,0,top
D67,125.6,-57.975,0,top
D68,182.95,-48.925,0,top
D69,189.875,-49.425,0,top
D70,197.8,-57.9,90,top
D71,193.1,-67.075,0,top
D72,185.25,-67.125,0,top
D73,179.375,-57.575,270,top
D74,182.5,-87.375,0,top
D75,180.65,-94.35,0,top
D76,180.85,-102.7,0,top
D77,125.325,-89.425,0,top
D78,125.875,-96.975,0,top
D79,115.575,-103.125,0,top
D80,106.425,-93.825,0,top
R1,130.912,-102.997,180,top
