Designator,MidX,MidY,Rotation,Layer
C2,177.6603,-58.74766,0,top
C3,201.88174,-58.90992,90,top
C4,204.86116,-51.31562,180,top
C5,194.44716,-45.6949,270,top
C6,201.60234,-90.42684,90,top
C7,185.71972,-84.6074,0,top
C8,175.23938,-84.32292,0,top
C9,172.08978,-104.2924,0,top
C10,168.04356,-118.18874,0,top
C11,182.99166,-69.22008,0,top
C12,203.0477,-68.26758,0,top
D1,190.144,-44.9072,0,top
D2,205.512,-47.0524,270,top
D3,180.035,-54.5084,270,top
D4,199.746,-53.594,270,top
D5,205.537,-55.5752,270,top
D6,185.395,-64.8832,270,top
D7,195.098,-64.7308,270,top
D8,205.435,-64.008,270,top
D9,178.472,-88.0616,180,top
D10,188.937,-88.0616,180,top
D11,197.116,-88.0616,0,top
D12,187.159,-94.2592,0,top
D13,179.386,-95.2244,0,top
D14,172.02,-100.762,0,top
D15,167.832,-107.823,0,top
D16,166.331,-114.528,0,top
R1,175.63592,-46.32656,90,top
