Designator,MidX,MidY,Rotation,Layer
D1,64.10925,-22.65725,90,top
D2,59.65225,-22.75825,90,top
D3,55.19425,-22.68125,90,top
D4,50.73625,-22.83325,90,top
D5,46.48225,-22.83325,90,top
D6,7.24125,-3.69705,0,top
D7,15.26825,-3.79865,0,top
D8,6.85825,-15.34165,0,top
D9,14.93525,-15.34165,0,top
D10,25.11825,-3.51665,0,top
D11,32.59125,-3.82135,0,top
D12,24.73925,-15.34165,0,top
D13,32.20725,-15.34165,0,top
D14,42.16425,-3.75915,0,top
D15,49.86325,-3.66905,0,top
D16,41.78525,-15.35305,0,top
D17,49.63125,-15.29085,0,top
D18,59.18225,-3.70835,0,top
D19,67.49025,-3.61815,0,top
D20,59.28325,-15.29085,0,top
D21,67.10725,-15.34165,0,top
D22,77.41925,-3.70835,0,top
D23,84.68325,-3.75915,0,top
D24,77.09125,-15.30215,0,top
D25,84.60525,-15.25135,0,top
D26,41.35125,-30.70925,90,top
R1,11.27725,-3.65765,90,top
R2,63.44925,-4.06405,270,top
