Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,LED,WS2812-2020,28.14188,-36.171334,0,top
D3,LED,WS2812-2020,27.25288,-31.472334,270,top
D4,LED,WS2812-2020,28.14188,-25.884334,0,top
D5,LED,WS2812-2020,30.30088,-20.931334,180,top
D6,LED,WS2812-2020,33.22188,-22.709334,180,top
D7,LED,WS2812-2020,36.26988,-21.185334,180,top
D8,LED,WS2812-2020,39.57188,-22.963334,180,top
D9,LED,WS2812-2020,33.22188,-13.184334,270,top
D10,LED,WS2812-2020,33.22188,-7.215334,290,top
D11,LED,WS2812-2020,42.36588,-7.215334,90,top
D12,LED,WS2812-2020,42.36588,-13.184334,90,top
D13,LED,WS2812-2020,50.62088,-13.184334,270,top
D14,LED,WS2812-2020,50.62088,-7.215334,270,top
D15,LED,WS2812-2020,59.76488,-7.215334,90,top
D16,LED,WS2812-2020,59.76488,-13.184334,90,top
D17,LED,WS2812-2020,68.14688,-13.184334,270,top
D18,LED,WS2812-2020,68.14688,-7.215334,270,top
D19,LED,WS2812-2020,77.29088,-7.215334,90,top
D20,LED,WS2812-2020,77.29088,-13.184334,90,top
D21,LED,WS2812-2020,85.54588,-13.184334,270,top
D22,LED,WS2812-2020,85.54588,-7.215334,270,top
D23,LED,WS2812-2020,94.68988,-7.215334,90,top
D24,LED,WS2812-2020,94.68988,-13.184334,90,top
D25,LED,WS2812-2020,103.07188,-13.184334,270,top
D26,LED,WS2812-2020,103.07188,-7.215334,270,top
D27,LED,WS2812-2020,112.21588,-7.215334,90,top
D28,LED,WS2812-2020,112.21588,-13.184334,90,top
D29,LED,WS2812-2020,121.750858,-1.754334,180,top
D30,LED,WS2812-2020,125.560858,-1.754334,180,top
D31,LED,WS2812-2020,129.23388,-1.754334,180,top
D32,LED,WS2812-2020,129.23388,-22.201334,0,top
D33,LED,WS2812-2020,125.560858,-22.201334,0,top
D34,LED,WS2812-2020,121.750858,-22.201334,0,top
R1,R,R_0603_1608Metric,75.395858,-22.782811,270,top
