Designator,MidX,MidY,Rotation,Layer
C2,134.3024,-54.8894,180,top
C3,115.6335,-54.50078,270,top
C4,144.5006,-71.23938,270,top
C5,146.31914,-83.64728,0,top
C6,136.32678,-93.01734,0,top
C7,127.8889,-104.36352,0,top
C8,116.97716,-89.95156,270,top
C9,123.32472,-75.54214,180,top
C10,105.48112,-87.00526,90,top
C11,135.73242,-114.53876,0,top
C12,104.1401,-75.35672,0,top
C13,143.82486,-128.143,0,top
C14,136.24062,-128.09982,0,top
C15,111.3408,-104.33558,0,top
C16,118.1863,-146.2532,0,top
C17,136.68238,-138.91768,0,top
D2,111.404,-53.4924,0,top
D3,119.876,-53.2636,0,top
D4,128.676,-53.2892,0,top
D5,112.991,-65.4556,0,top
D6,120.091,-71.9328,0,top
D7,123.913,-80.086,0,top
D8,112.358,-89.1284,0,top
D9,103.062,-82.5756,0,top
D10,105.777,-71.6024,0,top
D11,130.962,-63.5,0,top
D12,129.755,-70.2308,0,top
D13,138.848,-63.6268,0,top
D14,139.892,-70.434,0,top
D15,144.588,-79.9844,0,top
D16,134.659,-89.4332,0,top
D17,109.728,-100.635,0,top
D18,117.704,-100.686,0,top
D19,126.238,-100.686,0,top
D20,134.174,-100.66,0,top
D21,120.001,-107.061,0,top
D22,120.08,-113.411,0,top
D23,128.868,-116.51,0,top
D24,134.073,-110.922,0,top
D25,134.581,-124.485,0,top
D26,142.15,-124.536,0,top
D27,127.99204,-133.121,0,top
D28,135.038,-135.255,0,top
D29,142.607,-135.306,0,top
D30,120.091,-136.322,0,top
D31,123.811,-142.57,0,top
D32,116.524,-142.57,0,top
D33,111.393,-133.426,0,top
D34,102.96,-136.423,0,top
R1,101.33076,-58.47344,270,top
