Designator,MidX,MidY,Rotation,Layer
D2,85.1292,-94.0052,0,top
D3,85.1408,-87.6554,0,top
D4,85.2032,-81.3052,0,top
D5,94.7282,-67.4114,0,top
D6,101.713,-69.7482,0,top
D7,100.801,-61.6202,0,top
D8,106.262,-54.4578,0,top
D9,116.397,-54.4574,0,top
D10,121.121,-65.1254,0,top
D11,113.298,-78.3842,0,top
D12,121.883,-78.4096,0,top
D13,117.209,-84.6838,0,top
D14,98.2356,-89.6876,0,top
D15,105.295,-91.0842,0,top
D16,111.391,-96.5202,0,top
D17,94.7812,-103.987,0,top
D18,101.741,-103.987,0,top
D19,109.271,-104.064,0,top
D20,117.006,-90.6778,0,top
D21,125.058,-90.627,0,top
D22,133.618,-90.7794,0,top
D23,142.889,-92.532,0,top
D24,151.601,-77.5206,0,top
D25,142.152,-72.974,0,top
D26,135.116,-72.8978,0,top
D27,139.407,-64.2364,0,top
D28,147.65,-56.6928,0,top
D29,155.118,-56.6674,0,top
D30,161.761,-67.9194,0,top
D31,179.64,-70.3074,0,top
D32,181.799,-61.3158,0,top
D33,179.947,-53.5942,0,top
D34,187.034,-53.518,0,top
D35,197.397,-53.391,0,top
D36,204.382,-53.3906,0,top
D37,202.325,-65.0238,0,top
D38,191.962,-76.7586,0,top
D39,167.451,-83.9468,0,top
D40,175.02,-83.9468,0,top
D41,182.919,-83.8452,0,top
D42,190.946,-83.8198,0,top
D43,198.464,-83.7182,0,top
D44,167.476,-91.4906,0,top
D45,181.141,-91.516,0,top
D46,192.216,-90.627,0,top
D47,204.712,-89.9158,0,top
D48,200.293,-96.1642,0,top
D49,205.943,-103.708,0,top
D50,213.552,-102.946,0,top
D51,209.361,-117.119,0,top
D52,202.387,-117.145,0,top
D53,200.025,-111.43,0,top
D54,192.216,-113.69,0,top
D55,192.216,-119.964,0,top
D56,182.97,-113.487,0,top
D57,175.858,-117.83,0,top
D58,177.585,-103.632,0,top
D59,169.991,-103.733,0,top
R1,132.69,-115.021,90,top
