Ref,Val,Package,PosX,PosY,Rot,Side
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",239.051000,-30.479800,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",247.611000,-30.505600,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",255.589000,-30.480200,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.066000,-38.785600,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.099000,-38.836800,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",258.775000,-44.932600,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",258.838000,-51.333600,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.303000,-57.759800,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",244.944000,-57.734000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",238.367000,-48.259800,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",249.213000,-70.307000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",257.544000,-70.332400,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",264.479000,-76.504600,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",264.834000,-90.855600,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",257.730000,-89.950000,0.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",248.690000,-89.950000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",241.593000,-90.627000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.902000,-81.254400,0.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",240.425000,-102.260000,0.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",247.511000,-102.311000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.208000,-109.779000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",244.094000,-109.779000,0.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",251.499000,-109.779000,0.000000,top
"D25","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",272.050000,-109.775000,0.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.234000,-116.103000,0.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",244.057000,-116.078000,0.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",251.474000,-116.053000,0.000000,top
"D29","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",272.006000,-115.277000,0.000000,top
"D30","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",235.588000,-123.455000,0.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.350000,-126.300000,0.000000,top
"D32","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",250.955000,-122.414000,0.000000,top
"D33","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",272.037000,-121.068000,0.000000,top
"D34","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",235.573000,-129.083000,0.000000,top
"D35","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",250.929000,-127.850000,0.000000,top
"D36","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",272.087000,-127.037000,0.000000,top
"D37","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",235.368000,-134.467000,0.000000,top
"D38","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.250000,-132.200000,0.000000,top
"D39","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",250.904000,-133.285000,0.000000,top
"D40","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",272.110000,-132.842000,0.000000,top
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.081000,-141.122000,0.000000,top
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",244.080000,-141.071000,0.000000,top
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",252.247000,-140.970000,0.000000,top
"D44","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",271.972000,-138.912000,0.000000,top
"D45","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",271.958000,-144.602000,0.000000,top
"D46","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.028000,-147.981000,0.000000,top
"D47","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",243.981000,-147.904000,0.000000,top
"D48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",251.982000,-147.904000,0.000000,top
"D49","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",271.946000,-150.317000,0.000000,top
"D50","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.308000,-155.905000,0.000000,top
"D51","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",243.244000,-158.597000,0.000000,top
"D52","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",251.347000,-155.524000,0.000000,top
"D53","WS2812B","LED_WS2812B_MINI_PLCC4_3.5x3.5mm_P1.75mm",271.808000,-156.475000,0.000000,top
"G1","LOGO","100SpxToggle",259.131000,-47.650400,0.000000,top
"R1","R","R_0603_1608Metric",242.545000,-22.326600,270.000000,top
