Designator,MidX,MidY,Rotation,Layer
C2,94.4125,-38.9,0,top
C3,100.288,-45.5,0,top
C4,125.712,-38.7,0,top
C5,123.5,-54.4125,270,top
C6,121,-66.1125,270,top
C7,110.912,-68.9,0,top
C8,103.312,-69,0,top
C9,98,-104.1,0,top
C10,113.5,-89.3125,270,top
C11,103.812,-85.8,0,top
C12,123.5,-100.812,270,top
C13,105.412,-114,0,top
C14,116.088,-113.9,0,top
C15,100.5,-120.612,270,top
C16,105.5,-127.612,270,top
C17,100.9,-133.912,270,top
C18,82.5,-148.4,0,top
C19,86.9125,-160.2,0,top
C20,149.8,-81.1125,270,top
C21,133.012,-97.2,0,top
C22,157.7,-74.9125,270,top
C23,160.1,-54.2125,270,top
C24,153.5,-66.0125,270,top
C25,153.7,-43.7125,270,top
C26,153.9,-36.0125,270,top
C27,178.6,-53.7,0,top
C28,171.612,-50.7,0,top
C29,207.712,-38.8,0,top
C30,199.312,-45.2,0,top
C31,192.312,-45.2,0,top
C32,210.912,-52.8,0,top
C33,218.212,-52.2,0,top
C34,223.1,-85.2125,270,top
C35,219.312,-96.6,0,top
C36,217.888,-105,0,top
C37,229.612,-104.9,0,top
D1,93.05,-35.2,0,top
D2,101.45,-35.2,0,top
D3,110.25,-35.2,0,top
D4,118.55,-35.2,0,top
D5,125.65,-35.2,0,top
D6,99.95,-41.9,0,top
D7,108.05,-41.8,0,top
D8,116.3,-41.7,0,top
D9,119.15,-53.6,0,top
D10,116.75,-65.3,0,top
D11,109.2,-65.4,0,top
D12,101.7,-65.4,0,top
D13,98.95,-53.5,0,top
D14,99.65,-76,0,top
D15,109.15,-76.2,0,top
D16,117.9,-76.2,0,top
D17,104.4,-82.4,0,top
D18,113.55,-82.5,0,top
D19,109.05,-88.5,0,top
D20,119.25,-100,0,top
D21,114.45,-110.5,0,top
D22,103.75,-110.5,0,top
D23,98.9,-100.4,0,top
D24,88.65,-119.8,0,top
D25,96.15,-119.8,0,top
D26,84.65,-126.7,0,top
D27,92.6,-126.7,0,top
D28,101.25,-126.8,0,top
D29,88.55,-133.1,0,top
D30,96.55,-133.1,0,top
D31,102.95,-145.2,0,top
D32,99.65,-156.6,0,top
D33,92.6,-155.5,0,top
D34,85.25,-156.8,0,top
D35,82.95,-144.9,0,top
D36,141.25,-35.2,0,top
D37,149.6,-35.2,0,top
D38,141.85,-42.9,0,top
D39,149.4,-42.9,0,top
D40,155.8,-53.4,0,top
D41,149.15,-65.2,0,top
D42,141.95,-65.2,0,top
D43,135.55,-53.7,0,top
D44,136.9,-74.2,0,top
D45,144.8,-74.3,0,top
D46,153.35,-74.1,0,top
D47,145.15,-80.3,0,top
D48,155.95,-92.4,0,top
D49,145.65,-104.8,0,top
D50,135.45,-92.1,0,top
D51,172.1,-35.2,0,top
D52,180.2,-35.2,0,top
D53,187.75,-35.2,0,top
D54,197.9,-35.2,0,top
D55,206.05,-35.2,0,top
D56,190.65,-41.7,0,top
D57,197.65,-41.7,0,top
D58,169.95,-47.2,0,top
D59,176.95,-50.2,0,top
D60,209.2,-49.2,0,top
D61,216.55,-48.1,0,top
D62,214.35,-64.8,0,top
D63,223.55,-63.9,0,top
D64,208.5,-83.9,0,top
D65,218.7,-84.4,0,top
D66,179.35,-89.8,0,top
D67,188.4,-89.8,0,top
D68,197.9,-89.8,0,top
D69,207.6,-92.8,0,top
D70,217.7,-93,0,top
D71,227.85,-92.8,0,top
D72,205.6,-101.4,0,top
D73,216.2,-101.4,0,top
D74,227.9,-101.3,0,top
D75,207.7,-110.4,0,top
D76,217.9,-110.3,0,top
D77,228,-110.1,0,top
D78,207.95,-124.5,0,top
D79,215.55,-124.2,0,top
D80,207.9,-131.5,0,top
D81,205,-138.7,0,top
R1,89.8,-61.2,0,top
