Designator,MidX,MidY,Rotation,Layer
D2,34.8234,-101.067,0,top
D3,34.8488,-107.696,0,top
D4,34.761,-114.402,0,top
D5,54.0004,-119.101,0,top
D6,63.1306,-119.151,0,top
D7,58.166,-125.298,0,top
D8,67.781,-135.331,0,top
D9,57.5194,-145.72,0,top
D10,47.842,-134.772,0,top
D11,98.0948,-118.389,0,top
D12,105.754,-118.389,0,top
D13,102.376,-124.409,0,top
D14,112.243,-134.772,0,top
D15,106.364,-146.024,0,top
D16,98.8938,-146.05,0,top
D17,85.3302,-134.594,0,top
D18,92.3682,-134.569,0,top
D19,142.455,-118.694,0,top
D20,151.155,-118.694,0,top
D21,151.167,-124.739,0,top
D22,156.63,-135.052,0,top
D23,146.355,-145.948,0,top
D24,137.072,-134.747,0,top
D25,143.117,-124.765,0,top
R1,70.2158,-120.294,180,top
