Designator,MidX,MidY,Rotation,Layer
C2,156.5375,-88,0,top
C3,156.5375,-68.45,0,top
C4,164.7725,-68.19,0,top
C5,172.9825,-68.05,0,top
C6,164.7825,-87.88,0,top
C7,173.7025,-87.96,0,top
C8,177.3,-97.79,270,top
C9,182.2225,-88.2,0,top
D2,153.75,-38.175,0,top
D3,161.2,-38.15,0,top
D4,168.6,-38.15,0,top
D5,154.475,-44.275,0,top
D6,162.5,-44.1,0,top
D7,154.55,-51.175,0,top
D8,161.825,-51.15,0,top
D9,154.75,-58.45,0,top
D10,162.025,-58.45,0,top
D11,169.45,-58.45,0,top
D12,154.875,-64.8,0,top
D13,163.1,-64.7,0,top
D14,171.3,-64.65,0,top
D15,151.425,-76.15,0,top
D16,159.35,-76.125,0,top
D17,167.7,-76.15,0,top
D18,175.6,-76.175,0,top
D19,184.275,-74.2,0,top
D20,154.875,-84.375,0,top
D21,163.125,-84.3,0,top
D22,172.05,-84.375,0,top
D23,180.575,-84.625,0,top
D24,172.975,-96.95,0,top
D25,189.95,-103.8,0,top
R1,174.03,-56.4075,90,top
