Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,17.49084,1.17572,0.0,top
C3,C,C_0603_1608Metric,28.37884,10.38822,-90.0,top
C4,C,C_0603_1608Metric,25.99084,1.17572,0.0,top
C5,C,C_0603_1608Metric,33.99084,1.17572,0.0,top
C6,C,C_0603_1608Metric,42.49084,1.17572,0.0,top
C7,C,C_0603_1608Metric,53.57884,10.56322,-90.0,top
C8,C,C_0603_1608Metric,50.89084,1.17572,0.0,top
C9,C,C_0603_1608Metric,59.39084,1.17572,0.0,top
C10,C,C_0603_1608Metric,78.67884,10.46322,-90.0,top
C11,C,C_0603_1608Metric,78.57884,4.16322,-90.0,top
C12,C,C_0603_1608Metric,93.79084,7.57572,0.0,top
C13,C,C_0603_1608Metric,100.79084,1.27572,0.0,top
C14,C,C_0603_1608Metric,104.16684,7.57572,180.0,top
C15,C,C_0603_1608Metric,109.59084,7.57572,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,15.86484,4.71932,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24.08284,11.19652,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24.31184,4.71952,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,32.38684,4.71952,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.84684,4.77032,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,49.32784,11.39972,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,49.15284,4.77032,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,57.74984,4.74472,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,74.38684,11.27252,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,74.30984,4.99872,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.05284,11.17112,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.08884,4.82112,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.05384,11.17112,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107.92784,11.17112,0.0,top
