Designator,MidX,MidY,Rotation,Layer
C2,87.075,-46.45,0,top
C3,97.8,-46.7,0,top
C4,114.25,-62.125,270,top
C5,114.1,-54.575,270,top
C6,103.1,-65,0,top
C7,96.9,-62.1125,270,top
C8,105.6,-54.6,270,top
C9,77.975,-55.85,0,top
C10,87.85,-55.35,90,top
C11,82.9,-88.475,270,top
C12,96.65,-54.625,270,top
C13,69.175,-95.45,0,top
C14,72.525,-109.85,0,top
C15,89.375,-109.5,0,top
C16,94.425,-84.85,0,top
C17,91.5,-92.125,270,top
C18,96.75,-69.7875,270,top
C19,105.7,-69.8625,270,top
C20,114.3,-69.7625,270,top
C21,87.65,-60.2125,270,top
C22,96.7,-117.212,270,top
D1,85.4456,-42.8752,0,top
D2,96.1252,-43.1544,0,top
D3,104.202,-43.0528,0,top
D4,76.3132,-52.2984,0,top
D5,83.476,-53.0096,0,top
D6,92.366,-53.7716,0,top
D7,101.358,-53.7716,0,top
D8,109.83,-53.7464,0,top
D9,83.3744,-59.4104,0,top
D10,92.5068,-61.3156,0,top
D11,101.459,-61.3916,0,top
D12,109.982,-61.3156,0,top
D13,92.4168,-68.9608,0,top
D14,101.459,-69.0116,0,top
D15,109.943,-68.9608,0,top
D16,78.5,-80.2,0,top
D17,92.75,-81.3,0,top
D18,78.65,-87.6552,0,top
D19,71.2332,-91.8716,0,top
D20,87.2236,-91.3384,0,top
D21,70.8776,-106.299,0,top
D22,87.6808,-105.918,0,top
D23,92.4444,-116.434,0,top
R1,105.825,-46.6,0,top
