Designator,MidX,MidY,Rotation,Layer
D4,71.4629,-0.5461,90,top
D5,81.6229,-0.5461,90,top
D6,81.4959,10.5029,90,top
D7,63.24552,28.75278,0,top
D8,75.53952,28.62598,0,top
D9,84.93752,28.60038,0,top
D10,93.57352,28.60038,0,top
D11,61.27652,21.71718,0,top
D12,74.81652,21.13278,0,top
D13,83.65552,21.15838,0,top
D14,93.31952,21.13278,0,top
D15,91.85752,10.28718,0,top
D16,91.85752,-1.09152,0,top
D17,80.81152,-12.36952,0,top
D18,92.92452,-14.50352,0,top
D19,70.82652,-22.63152,0,top
D20,92.87352,-22.93552,0,top
D21,92.92452,-31.62252,0,top
D22,80.77152,-33.32452,0,top
D23,61.25352,-41.47752,0,top
D24,69.15052,-41.42752,0,top
D25,77.02452,-41.52852,0,top
D26,84.82452,-41.57952,0,top
D27,92.81152,-41.55452,0,top
D28,71.4629,10.5029,270,top
D29,82.0039,45.8089,90,top
D30,91.1479,45.8089,90,top
D31,91.1479,39.7129,90,top
D32,81.9404,39.7129,270,top
