Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,94.9198,-167.77472,90.0,top
C3,C,C_0603_1608Metric,82.81172,-162.70986,180.0,top
C4,C,C_0603_1608Metric,102.71506,-159.03204,90.0,top
C5,C,C_0603_1608Metric,80.05,-154.05,0.0,top
C6,C,C_0603_1608Metric,80.5815,-142.9385,90.0,top
C7,C,C_0603_1608Metric,90.07094,-143.0782,90.0,top
C8,C,C_0603_1608Metric,98.65106,-143.05788,90.0,top
C9,C,C_0603_1608Metric,105.82656,-143.08338,90.0,top
C10,C,C_0603_1608Metric,73.09866,-137.17534,90.0,top
C11,C,C_0603_1608Metric,113.84534,-137.04316,90.0,top
C12,C,C_0603_1608Metric,82.06994,-111.66612,90.0,top
C13,C,C_0603_1608Metric,90.2716,-86.41842,180.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89.1424,-74.7524,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,97.7392,-74.8792,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75.1956,-84.7596,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.836,-84.8104,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,102.3736,-85.0136,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.4276,-85.0136,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,73.3552,-132.7404,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,82.6008,-132.7912,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.6592,-132.588,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.9048,-132.7912,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.4044,-132.7912,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.1304,-138.3284,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.63,-138.3284,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.2152,-138.5316,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.378,-138.3284,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.518,-150.6728,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.8032,-154.6352,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,79.592,-159.1816,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,90.678,-165.4048,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,79.6036,-106.9848,180.0,top
D21,LED,LED_D3.0mm,95.9993,-56.85536,270.0,bottom
R1,R,R_0603_1608Metric,99.00168,-56.87568,0.0,top
