Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,16.6062,34.2087,-90.0,top
C3,C,C_0603_1608Metric,26.5162,34.1487,-90.0,top
C4,C,C_0603_1608Metric,39.9762,34.2887,-90.0,top
C5,C,C_0603_1608Metric,47.1087,31.5712,0.0,top
C6,C,C_0603_1608Metric,64.5862,34.2387,-90.0,top
C7,C,C_0603_1608Metric,74.2862,34.2287,-90.0,top
C8,C,C_0603_1608Metric,16.5462,24.2587,-90.0,top
C9,C,C_0603_1608Metric,26.5162,24.2087,-90.0,top
C10,C,C_0603_1608Metric,39.9562,24.2087,-90.0,top
C11,C,C_0603_1608Metric,49.7762,24.0387,-90.0,top
C12,C,C_0603_1608Metric,64.5762,24.1487,-90.0,top
C13,C,C_0603_1608Metric,74.3062,24.1387,-90.0,top
C14,C,C_0603_1608Metric,16.5362,14.1487,-90.0,top
C15,C,C_0603_1608Metric,26.4962,14.1187,-90.0,top
C16,C,C_0603_1608Metric,39.9462,14.0787,-90.0,top
C17,C,C_0603_1608Metric,45.8987,11.3112,0.0,top
C18,C,C_0603_1608Metric,64.5562,14.0487,-90.0,top
C19,C,C_0603_1608Metric,74.3262,14.0287,-90.0,top
C20,C,C_0603_1608Metric,16.5462,4.0387,-90.0,top
C21,C,C_0603_1608Metric,26.5362,3.9887,-90.0,top
C22,C,C_0603_1608Metric,39.9862,3.9587,-90.0,top
C23,C,C_0603_1608Metric,49.7462,3.8487,-90.0,top
C24,C,C_0603_1608Metric,64.5762,3.9087,-90.0,top
C25,C,C_0603_1608Metric,74.2962,3.8987,-90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12.2842,35.0612,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.2562,34.9612,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,35.7052,35.1028,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.4472,35.1028,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.2912,35.0528,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.0412,35.0328,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12.2842,25.0692,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.2562,25.019,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,35.7052,25.0192,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.4472,25.0192,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.2912,24.969,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.0412,24.949,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12.2842,14.96,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.2562,14.9354,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,35.7052,14.8846,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.4472,14.8844,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.2912,14.8598,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.0412,14.84,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12.2842,4.8512,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.2562,4.8012,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,35.7052,4.7752,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.4472,4.7752,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.2912,4.7252,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.0412,4.7052,180.0,top
R1,R,R_0603_1608Metric,31.8287,11.2712,0.0,top
