Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,125.05,-59.045,180.0,top
D2,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,131.08,-59.08,180.0,top
D3,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,143.005,-95.89,90.0,top
D4,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,143.035,-101.78,90.0,top
D5,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,143.015,-108.0,90.0,top
D6,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,124.23,-143.585,180.0,top
D7,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,130.21,-143.59,180.0,top
D8,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,125.504,-149.719,180.0,top
D9,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,132.616,-149.719,180.0,top
D10,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,139.474,-149.719,180.0,top
D11,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,146.84,-149.719,180.0,top
D12,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,154.15,-149.719,180.0,top
D13,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,130.02,-157.367,180.0,top
D14,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,136.172,-157.339,180.0,top
D15,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,142.522,-157.226,180.0,top
D16,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,142.097,-163.202,300.0,top
D17,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,142.53,-171.935,240.0,top
D18,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,137.497,-178.947,180.0,top
D19,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,131.73,-178.935,180.0,top
D20,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,127.724,-174.599,225.0,top
D21,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,123.315,-170.69,90.0,top
D22,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,123.335,-164.43,90.0,top
R1,R,R_0603_1608Metric,138.72,-52.66,-90.0,top
