Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.5536,-12.4714,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.6606,-15.037,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.3728,-14.9354,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.7548,-14.9354,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.6956,-12.4208,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.7176,-21.0056,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.813,-23.5714,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.576,-23.444,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.9558,-23.4694,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.9242,-20.9548,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.7122,-27.381,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.0754,-30.4036,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.9938,-28.6514,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.7122,-34.7216,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.05,-38.8618,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.8668,-36.271,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.7122,-42.4178,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.0986,-45.9484,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.8922,-44.4752,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.7122,-50.0124,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60.6944,-52.9338,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,74.258,-53.5178,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,81.3954,-53.543,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,89.5488,-53.5684,180.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,97.2958,-51.7142,180.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.301,-59.3092,180.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.301,-66.624,180.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,124.423,-67.6912,180.0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131.736,-72.5676,180.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.953,-76.9114,180.0,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.935,-78.7906,180.0,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.988,-85.8268,180.0,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.87,-87.808,180.0,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131.242,-91.4908,180.0,top
D36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.237,-62.5604,180.0,top
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.285,-70.6118,180.0,top
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.338,-79.426,180.0,top
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.311,-88.3922,180.0,top
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.426,-96.4692,180.0,top
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,113.755,-100.152,180.0,top
D42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.975,-99.0602,180.0,top
D43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131.332,-100.482,180.0,top
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140.552,-100.711,180.0,top
D45,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.747,-100.737,180.0,top
D46,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,64.4652,-82.6516,180.0,top
D47,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.5816,-82.8546,180.0,top
D48,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.5318,-83.0074,180.0,top
D49,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.609,-82.9562,180.0,top
D50,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,71.8312,-91.4654,180.0,top
D51,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,79.4142,-91.4402,180.0,top
D52,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.1314,-101.752,180.0,top
D53,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75.9852,-112.294,180.0,top
D54,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,66.13,-102.362,180.0,top
D55,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,62.8534,-126.695,180.0,top
D56,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,62.9666,-133.985,180.0,top
D57,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.9758,-134.239,180.0,top
D58,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.7228,-134.214,180.0,top
D59,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.165,-134.137,180.0,top
D60,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.9882,-134.163,180.0,top
D61,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107.786,-134.01,180.0,top
D62,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115.635,-134.01,180.0,top
D63,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123.102,-133.959,180.0,top
D64,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.875,-134.036,180.0,top
D65,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.661,-133.985,180.0,top
D66,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,148.502,-133.934,180.0,top
D67,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.5688,-147.091,180.0,top
D68,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.5328,-147.142,180.0,top
D69,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.6608,-147.117,180.0,top
D70,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.815,-153.721,180.0,top
D71,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.9176,-153.746,180.0,top
D72,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,99.7458,-163.703,180.0,top
D73,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.9408,-174.472,180.0,top
D74,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.741,-174.447,180.0,top
D75,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.3264,-163.703,180.0,top
D76,LED,WS2812-2020,71.829572,-35.060522,0.0,top
D77,LED,WS2812-2020,81.608572,-35.060522,0.0,top
D78,LED,WS2812-2020,81.608572,-44.331522,180.0,top
D79,LED,WS2812-2020,71.829572,-44.331522,180.0,top
R1,R,R_0603_1608Metric,92.075,-60.071,0.0,top
SW1,ECM JETT,SW_TH_Tactile_Omron_B3F-10xx,73.406,-37.465,0.0,top
