Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,44.9875,-82.1,0.0,top
C3,C,C_0603_1608Metric,59.5,-80.7875,90.0,top
C4,C,C_0603_1608Metric,56.7,-86.0,180.0,top
C5,C,C_0603_1608Metric,41.3925,-93.54,0.0,top
C6,C,C_0603_1608Metric,42.3025,-100.61,0.0,top
C7,C,C_0603_1608Metric,30.36,-111.402,-90.0,top
C8,C,C_0603_1608Metric,30.42,-118.152,-90.0,top
C9,C,C_0603_1608Metric,45.4725,-109.47,0.0,top
C10,C,C_0603_1608Metric,61.4425,-109.13,0.0,top
C11,C,C_0603_1608Metric,62.7225,-97.8,0.0,top
C12,C,C_0603_1608Metric,53.7425,-109.38,0.0,top
C13,C,C_0603_1608Metric,39.0925,-122.28,0.0,top
C14,C,C_0603_1608Metric,50.49,-117.412,-90.0,top
C15,C,C_0603_1608Metric,62.0425,-119.82,0.0,top
C16,C,C_0603_1608Metric,69.7625,-119.81,0.0,top
C17,C,C_0603_1608Metric,77.3225,-119.84,0.0,top
C18,C,C_0603_1608Metric,88.0525,-119.99,0.0,top
C19,C,C_0603_1608Metric,95.11,-120.06,0.0,top
C20,C,C_0603_1608Metric,102.492,-113.86,0.0,top
C21,C,C_0603_1608Metric,102.11,-121.99,0.0,top
C22,C,C_0603_1608Metric,104.05,-105.482,-90.0,top
C23,C,C_0603_1608Metric,90.86,-105.002,-90.0,top
C24,C,C_0603_1608Metric,93.75,-111.068,-90.0,top
C25,C,C_0603_1608Metric,81.0725,-113.76,0.0,top
C26,C,C_0603_1608Metric,79.9825,-79.5,0.0,top
C27,C,C_0603_1608Metric,87.9425,-79.61,0.0,top
C28,C,C_0603_1608Metric,96.6925,-79.63,0.0,top
C29,C,C_0603_1608Metric,99.67,-70.8025,-90.0,top
C30,C,C_0603_1608Metric,108.12,-76.9025,-90.0,top
C31,C,C_0603_1608Metric,127.688,-82.67,0.0,top
C32,C,C_0603_1608Metric,46.3025,-128.25,0.0,top
C33,C,C_0603_1608Metric,59.54,-125.432,-90.0,top
C34,C,C_0603_1608Metric,55.88,-131.392,-90.0,top
C35,C,C_0603_1608Metric,65.91,-141.262,-90.0,top
C36,C,C_0603_1608Metric,76.0325,-147.2,0.0,top
C37,C,C_0603_1608Metric,48.9925,-155.03,0.0,top
C38,C,C_0603_1608Metric,41.7,-144.9875,90.0,top
C39,C,C_0603_1608Metric,89.1285,-153.924,0.0,top
C40,C,C_0603_1608Metric,82.0825,-154.08,0.0,top
C41,C,C_0603_1608Metric,96.8125,-144.8,0.0,top
C42,C,C_0603_1608Metric,104.612,-145.0,0.0,top
C43,C,C_0603_1608Metric,118.747,-119.7,0.0,top
C44,C,C_0603_1608Metric,129.5,-123.112,-90.0,top
C45,C,C_0603_1608Metric,145.312,-130.1,0.0,top
C46,C,C_0603_1608Metric,128.7,-117.012,-90.0,top
C47,C,C_0603_1608Metric,133.577,-119.7,0.0,top
C48,C,C_0603_1608Metric,152.312,-130.1,0.0,top
C49,C,C_0603_1608Metric,148.812,-144.1,0.0,top
C50,C,C_0603_1608Metric,129.9,-156.512,-90.0,top
C51,C,C_0603_1608Metric,126.912,-109.2,0.0,top
C52,C,C_0603_1608Metric,132.088,-77.1,180.0,top
C53,C,C_0603_1608Metric,141.0,-74.3125,-90.0,top
C54,C,C_0603_1608Metric,144.3,-79.9125,-90.0,top
C55,C,C_0603_1608Metric,137.3,-83.4125,-90.0,top
C56,C,C_0603_1608Metric,121.812,-92.0,0.0,top
C57,C,C_0603_1608Metric,142.012,-109.1,0.0,top
C58,C,C_0603_1608Metric,134.412,-109.2,0.0,top
C59,C,C_0603_1608Metric,123.312,-99.7,0.0,top
C60,C,C_0603_1608Metric,55.9125,-155.0,0.0,top
C61,C,C_0603_1608Metric,89.3,-124.812,-90.0,top
C62,C,C_0603_1608Metric,89.3,-130.512,-90.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,26.162,-117.348,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,26.1112,-110.592,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.6146,-97.028,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,40.64,-90.17,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46.863,-78.4098,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,55.1688,-78.4098,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,51.6636,-84.4042,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.0362,-94.2594,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,59.7916,-105.588,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,52.07,-105.816,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,43.815,-105.918,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.3336,-76.0476,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.3092,-76.073,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.4544,-70.028,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.4162,-69.9772,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.0468,-76.0476,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.861,-76.1238,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.023,-79.1212,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.829,-73.4822,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136.703,-73.4822,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.979,-79.0702,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,133.008,-82.474,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.514,-88.392,180.0,top
