Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,39.1,-101.862,-90.0,top
C3,C,C_0603_1608Metric,39.15,-108.512,-90.0,top
C4,C,C_0603_1608Metric,39.05,-115.212,-90.0,top
C5,C,C_0603_1608Metric,58.3,-119.912,-90.0,top
C6,C,C_0603_1608Metric,67.45,-119.912,-90.0,top
C7,C,C_0603_1608Metric,62.45,-126.112,-90.0,top
C8,C,C_0603_1608Metric,72.05,-136.138,-90.0,top
C9,C,C_0603_1608Metric,61.8,-146.538,-90.0,top
C10,C,C_0603_1608Metric,47.1625,-138.35,0.0,top
C11,C,C_0603_1608Metric,96.8125,-122.0,0.0,top
C12,C,C_0603_1608Metric,110.0,-119.188,-90.0,top
C13,C,C_0603_1608Metric,106.65,-125.212,-90.0,top
C14,C,C_0603_1608Metric,113.9,-138.3,0.0,top
C15,C,C_0603_1608Metric,110.65,-146.862,-90.0,top
C16,C,C_0603_1608Metric,100.562,-149.6,0.0,top
C17,C,C_0603_1608Metric,87.0125,-138.15,0.0,top
C18,C,C_0603_1608Metric,94.0125,-138.1,0.0,top
C19,C,C_0603_1608Metric,146.75,-119.512,-90.0,top
C20,C,C_0603_1608Metric,155.45,-119.462,-90.0,top
C21,C,C_0603_1608Metric,155.45,-125.562,-90.0,top
C22,C,C_0603_1608Metric,160.91,-135.87,-90.0,top
C23,C,C_0603_1608Metric,150.6,-146.752,-90.0,top
C24,C,C_0603_1608Metric,139.0575,-138.7,180.0,top
C25,C,C_0603_1608Metric,138.98,-129.94,90.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8234,-101.067,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.8488,-107.696,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.761,-114.402,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.0004,-119.101,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,63.1306,-119.151,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,58.166,-125.298,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,67.781,-135.331,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,57.5194,-145.72,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,47.842,-134.772,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.0948,-118.389,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.754,-118.389,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,102.376,-124.409,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.243,-134.772,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.364,-146.024,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.8938,-146.05,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.3302,-134.594,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.3682,-134.569,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.455,-118.694,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151.155,-118.694,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151.167,-124.739,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.63,-135.052,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,146.355,-145.948,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.072,-134.747,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143.117,-124.765,180.0,top
R1,R,R_0603_1608Metric,117.19,-139.68,180.0,top
