Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,113.82,-35.395,90.0,top
C3,C,C_0603_1608Metric,123.038,-44.8639,90.0,top
C4,C,C_0603_1608Metric,145.674,-51.7652,180.0,top
C5,C,C_0603_1608Metric,137.404,-64.3966,0.0,top
C6,C,C_0603_1608Metric,117.686,-74.1375,90.0,top
C7,C,C_0603_1608Metric,140.139,-35.4153,90.0,top
C8,C,C_0603_1608Metric,112.123,-77.4675,180.0,top
C9,C,C_0603_1608Metric,100.957,-73.9977,90.0,top
C10,C,C_0603_1608Metric,117.419,-106.291,90.0,top
C11,C,C_0603_1608Metric,105.766,-105.771,180.0,top
C12,C,C_0603_1608Metric,121.735,-94.356,90.0,top
C13,C,C_0603_1608Metric,149.352,-90.932,180.0,top
C14,C,C_0603_1608Metric,149.591,-100.076,0.0,top
C15,C,C_0603_1608Metric,143.203,-118.359,180.0,top
C16,C,C_0603_1608Metric,147.147,-114.364,90.0,top
C17,C,C_0603_1608Metric,133.165,-121.072,90.0,top
C18,C,C_0603_1608Metric,107.942,-127.427,0.0,top
C19,C,C_0603_1608Metric,112.37,-135.412,0.0,top
C20,C,C_0603_1608Metric,120.894,-162.164,0.0,top
C21,C,C_0603_1608Metric,134.376,-151.178,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.365,-31.064,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.837,-31.0388,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.84,-31.0132,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.68,-31.064,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,138.012,-40.5128,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140.575,-50.1648,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.749,-60.782,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.569,-61.1376,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.789,-50.5968,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.599,-40.5384,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.5012,-69.6976,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107.086,-69.7484,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115.226,-69.7736,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107.098,-75.8696,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.512,-79.9844,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.29,-90.0428,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.972,-101.981,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.646,-104.165,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.3676,-89.7128,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.5128,-80.4416,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.727,-90.1192,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136.46,-90.0428,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,144.12,-90.0684,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,129.286,-96.266,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.852,-96.4184,180.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,144.678,-102.565,180.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,144.69,-110.007,180.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.984,-116.764,180.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.72,-116.764,180.0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,124.421,-106.045,180.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.285,-123.774,180.0,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.512,-123.723,180.0,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.067,-123.749,180.0,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137.73,-123.723,180.0,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.705,-131.851,180.0,top
D36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.071,-131.8,180.0,top
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.926,-131.699,180.0,top
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,136.308,-131.75,180.0,top
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.055,-137.541,180.0,top
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.729,-147.599,180.0,top
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.504,-158.623,180.0,top
D42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.239,-158.623,180.0,top
D43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.838,-147.65,180.0,top
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.41,-137.592,180.0,top
R1,R,R_0603_1608Metric,128.422,-66.1212,90.0,top
