Designator,MidX,MidY,Rotation,Layer
C2,62.3062,-54.3814,0,top
C3,98.376526,-49.959474,225,top
C4,141.6304,-50.0634,225,top
C5,153.7208,-81.346,90,top
C6,141.4018,-89.8144,315,top
C7,55.793752,-98.414952,315,top
C8,111.6076,-94.4626,225,top
C9,61.6204,-87.1372,90,top
C10,50.1904,-104.4448,0,top
C11,48.514,-73.6854,270,top
C12,102.362,-118.4656,270,top
C13,90.0684,-125.095,315,top
C14,122.7328,-116.5606,270,top
C15,131.7752,-126.0856,270,top
C16,106.426,-119.5222,90,top
C17,169.3164,-116.078,315,top
C18,156.893474,-114.073726,225,top
C19,154.9654,-106.934,180,top
C20,173.2788,-109.8296,0,top
C21,158.5976,-95.7986,90,top
C22,160.2994,-73.9394,0,top
C23,163.3474,-85.7402,90,top
D2,154.28,-51.3588,0,top
D3,146.05,-51.4096,0,top
D4,120.687,-51.2828,0,top
D5,112.231,-51.257,0,top
D6,102.729,-51.257,0,top
D7,85.8404,-50.8506,0,top
D8,78.576,-50.9018,0,top
D9,70.5728,-50.876,0,top
D10,62.7496,-50.9014,0,top
D11,44.5146,-72.6184,0,top
D12,44.577,-79.7814,0,top
D13,44.5654,-86.9948,0,top
D14,44.2098,-101.854,0,top
D15,52.3864,-92.1256,0,top
D16,60.235,-92.1764,0,top
D17,67.781,-92.2526,0,top
D18,65.8738,-83.769,0,top
D19,67.5386,-77.216,0,top
D20,79.7422,-76.8602,0,top
D21,80.4926,-83.7184,0,top
D22,80.9498,-92.583,0,top
D23,89.4472,-92.659,0,top
D24,97.79,-92.6338,0,top
D25,106.731,-92.6338,0,top
D26,104.812,-84.0992,0,top
D27,106.211,-78.308,0,top
D28,118.821,-78.2066,0,top
D29,118.81,-83.871,0,top
D30,127.152,-92.5068,0,top
D31,135.421,-92.5574,0,top
D32,143.801,-83.8452,0,top
D33,145.403,-77.5714,0,top
D34,156.972,-77.3176,0,top
D35,157.621,-83.5658,0,top
D36,158.789,-91.8462,0,top
D37,165.749,-91.8974,0,top
D38,162.726,-97.9676,0,top
D39,172.835,-105.918,0,top
D40,162.916,-117.805,0,top
D41,150.433,-109.119,0,top
D42,150.458,-102.21,0,top
D43,139.079,-125.044,0,top
D44,135.865,-116.713,0,top
D45,126.76,-116.713,0,top
D46,123.94,-125.069,0,top
D47,99.658,-125.247,0,top
D48,97.6006,-117.399,0,top
D49,88.0248,-117.449,0,top
D50,85.2816,-125.222,0,top
D51,70.485,-108.433,0,top
D52,60.161,-97.9676,0,top
D53,50.583,-107.823,0,top
D54,60.4404,-117.805,0,top
R1,116.114,-91.5416,180,top
