Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,128.0175,-148.57,180.0,top
C3,C,C_0603_1608Metric,147.1375,-148.43,180.0,top
C4,C,C_0603_1608Metric,199.81,-137.6975,-90.0,top
C5,C,C_0603_1608Metric,197.917,-125.161,90.0,top
C6,C,C_0603_1608Metric,212.6475,-136.0,180.0,top
C7,C,C_0603_1608Metric,171.2125,-126.4,0.0,top
C8,C,C_0603_1608Metric,126.2875,-126.8,0.0,top
C9,C,C_0603_1608Metric,177.1375,-106.21,180.0,top
C10,C,C_0603_1608Metric,176.5625,-97.9,180.0,top
C11,C,C_0603_1608Metric,204.73,-67.7575,-90.0,top
C12,C,C_0603_1608Metric,205.28,-49.8625,-90.0,top
C13,C,C_0603_1608Metric,197.765,-44.2475,-90.0,top
C14,C,C_0603_1608Metric,110.3825,-85.36,0.0,top
C15,C,C_0603_1608Metric,134.2375,-61.5,0.0,top
C16,C,C_0603_1608Metric,123.65,-36.6125,-90.0,top
C17,C,C_0603_1608Metric,131.775,-47.1375,-90.0,top
C18,C,C_0603_1608Metric,121.1,-43.9,180.0,top
C19,C,C_0603_1608Metric,149.7125,-57.925,0.0,top
C20,C,C_0603_1608Metric,156.7625,-57.925,0.0,top
C21,C,C_0603_1608Metric,90.125,-75.9875,-90.0,top
C22,C,C_0603_1608Metric,90.0,-64.5125,-90.0,top
C23,C,C_0603_1608Metric,127.175,-82.5125,-90.0,top
C24,C,C_0603_1608Metric,102.4125,-126.9,0.0,top
C25,C,C_0603_1608Metric,111.7125,-126.8,0.0,top
C26,C,C_0603_1608Metric,153.1125,-126.6,0.0,top
C27,C,C_0603_1608Metric,160.3125,-126.6,0.0,top
C28,C,C_0603_1608Metric,119.1125,-126.8,0.0,top
C29,C,C_0603_1608Metric,136.3125,-126.7,0.0,top
C30,C,C_0603_1608Metric,179.4125,-126.4,0.0,top
C31,C,C_0603_1608Metric,102.2925,-148.52,0.0,top
C32,C,C_0603_1608Metric,145.6125,-126.7,0.0,top
C33,C,C_0603_1608Metric,119.0225,-148.53,0.0,top
C34,C,C_0603_1608Metric,136.1925,-148.43,0.0,top
C35,C,C_0603_1608Metric,111.6925,-148.57,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.7134,-63.703,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.825,-47.625,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.028,-35.8138,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.392,-35.8138,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.115,-42.2908,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.471,-46.3548,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.551,-57.9372,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,148.045,-54.3814,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155.092,-54.356,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,183.769,-43.3578,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,193.45,-43.425,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,201.0,-49.077,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,204.202,-56.3016,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,200.355,-66.9798,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,199.201,-73.3554,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,192.216,-76.276,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,184.314,-76.3522,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,176.62,-72.3644,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.275,-66.35,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,172.174,-56.7994,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.909,-49.225,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.724,-81.7624,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115.748,-80.1116,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.772,-81.737,180.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.35,-87.2996,180.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,173.293,-94.3354,180.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,173.851,-102.667,180.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.787,-123.292,180.0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.084,-123.292,180.0,top
