Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,87.075,-46.45,0.0,top
C3,C,C_0603_1608Metric,97.8,-46.7,0.0,top
C4,C,C_0603_1608Metric,114.25,-62.125,-90.0,top
C5,C,C_0603_1608Metric,114.1,-54.575,-90.0,top
C6,C,C_0603_1608Metric,103.1,-65.0,0.0,top
C7,C,C_0603_1608Metric,96.9,-62.1125,-90.0,top
C8,C,C_0603_1608Metric,105.6,-54.6,-90.0,top
C9,C,C_0603_1608Metric,77.975,-55.85,0.0,top
C10,C,C_0603_1608Metric,87.85,-55.35,90.0,top
C11,C,C_0603_1608Metric,82.9,-88.475,-90.0,top
C12,C,C_0603_1608Metric,96.65,-54.625,-90.0,top
C13,C,C_0603_1608Metric,69.175,-95.45,0.0,top
C14,C,C_0603_1608Metric,72.525,-109.85,0.0,top
C15,C,C_0603_1608Metric,89.375,-109.5,0.0,top
C16,C,C_0603_1608Metric,94.425,-84.85,0.0,top
C17,C,C_0603_1608Metric,91.5,-92.125,-90.0,top
C18,C,C_0603_1608Metric,96.75,-69.7875,-90.0,top
C19,C,C_0603_1608Metric,105.7,-69.8625,-90.0,top
C20,C,C_0603_1608Metric,114.3,-69.7625,-90.0,top
C21,C,C_0603_1608Metric,87.65,-60.2125,-90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.4456,-42.8752,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.1252,-43.1544,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.202,-43.0528,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.3132,-52.2984,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.476,-53.0096,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.366,-53.7716,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.358,-53.7716,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.83,-53.7464,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.3744,-59.4104,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.5068,-61.3156,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.459,-61.3916,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.982,-61.3156,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.4168,-68.9608,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.459,-69.0116,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.943,-68.9608,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.5,-80.2,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.75,-81.3,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.65,-87.6552,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,71.2332,-91.8716,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.2236,-91.3384,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.8776,-106.299,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.6808,-105.918,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.4444,-116.434,180.0,top
R1,R,R_0603_1608Metric,105.825,-46.6,0.0,top
