Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D4,WS2812B-2020,WS2812-2020,71.4629,-0.5461,90.0,top
D5,WS2812B-2020,WS2812-2020,81.6229,-0.5461,90.0,top
D6,WS2812B-2020,WS2812-2020,81.4959,10.5029,90.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,63.24552,28.75278,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75.53952,28.62598,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.93752,28.60038,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.57352,28.60038,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.27652,21.71718,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,74.81652,21.13278,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,83.65552,21.15838,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.31952,21.13278,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91.85752,10.28718,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91.85752,-1.09152,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.81152,-12.36952,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.92452,-14.50352,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.82652,-22.63152,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.87352,-22.93552,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.92452,-31.62252,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.77152,-33.32452,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.25352,-41.47752,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.15052,-41.42752,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,77.02452,-41.52852,180.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.82452,-41.57952,180.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,92.81152,-41.55452,180.0,top
D28,WS2812B-2020,WS2812-2020,71.4629,10.5029,-90.0,top
D29,WS2812B-2020,WS2812-2020,82.0039,45.8089,90.0,top
D30,WS2812B-2020,WS2812-2020,91.1479,45.8089,90.0,top
D31,WS2812B-2020,WS2812-2020,91.1479,39.7129,90.0,top
D32,WS2812B-2020,WS2812-2020,81.9404,39.7129,-90.0,top
SW1,READY,SW_TH_Tactile_Omron_B3F-10xx,84.2899,39.5859,90.0,top
SW2,A/A,SW_TH_Tactile_Omron_B3F-10xx,78.7019,13.6779,-90.0,top
SW3,A/G,SW_TH_Tactile_Omron_B3F-10xx,78.7019,2.6289,-90.0,top
