Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,94.4125,-38.9,0.0,top
C3,C,C_0603_1608Metric,100.288,-45.5,0.0,top
C4,C,C_0603_1608Metric,125.712,-38.7,0.0,top
C5,C,C_0603_1608Metric,123.5,-54.4125,-90.0,top
C6,C,C_0603_1608Metric,121.0,-66.1125,-90.0,top
C7,C,C_0603_1608Metric,110.912,-68.9,0.0,top
C8,C,C_0603_1608Metric,103.312,-69.0,0.0,top
C9,C,C_0603_1608Metric,98.0,-104.1,0.0,top
C10,C,C_0603_1608Metric,113.5,-89.3125,-90.0,top
C11,C,C_0603_1608Metric,103.812,-85.8,0.0,top
C12,C,C_0603_1608Metric,123.5,-100.812,-90.0,top
C13,C,C_0603_1608Metric,105.412,-114.0,0.0,top
C14,C,C_0603_1608Metric,116.088,-113.9,0.0,top
C15,C,C_0603_1608Metric,100.5,-120.612,-90.0,top
C16,C,C_0603_1608Metric,105.5,-127.612,-90.0,top
C17,C,C_0603_1608Metric,100.9,-133.912,-90.0,top
C18,C,C_0603_1608Metric,82.5,-148.4,0.0,top
C19,C,C_0603_1608Metric,86.9125,-160.2,0.0,top
C20,C,C_0603_1608Metric,149.8,-81.1125,-90.0,top
C21,C,C_0603_1608Metric,133.012,-97.2,0.0,top
C22,C,C_0603_1608Metric,157.7,-74.9125,-90.0,top
C23,C,C_0603_1608Metric,160.1,-54.2125,-90.0,top
C24,C,C_0603_1608Metric,153.5,-66.0125,-90.0,top
C25,C,C_0603_1608Metric,153.7,-43.7125,-90.0,top
C26,C,C_0603_1608Metric,153.9,-36.0125,-90.0,top
C27,C,C_0603_1608Metric,178.6,-53.7,0.0,top
C28,C,C_0603_1608Metric,171.612,-50.7,0.0,top
C29,C,C_0603_1608Metric,207.712,-38.8,0.0,top
C30,C,C_0603_1608Metric,199.312,-45.2,0.0,top
C31,C,C_0603_1608Metric,192.312,-45.2,0.0,top
C32,C,C_0603_1608Metric,210.912,-52.8,0.0,top
C33,C,C_0603_1608Metric,218.212,-52.2,0.0,top
C34,C,C_0603_1608Metric,223.1,-85.2125,-90.0,top
C35,C,C_0603_1608Metric,219.312,-96.6,0.0,top
C36,C,C_0603_1608Metric,217.888,-105.0,0.0,top
C37,C,C_0603_1608Metric,229.612,-104.9,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.05,-35.2,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.45,-35.2,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.25,-35.2,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,118.55,-35.2,180.0,top
