Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,228.138,-56.95,0.0,top
C3,C,C_0603_1608Metric,235.6,-56.95,0.0,top
C4,C,C_0603_1608Metric,242.588,-57.1,0.0,top
C5,C,C_0603_1608Metric,249.7,-57.1,0.0,top
C6,C,C_0603_1608Metric,219.912,-68.1,0.0,top
C7,C,C_0603_1608Metric,232.8,-65.1875,-90.0,top
C8,C,C_0603_1608Metric,241.7,-73.1125,-90.0,top
C9,C,C_0603_1608Metric,246.012,-66.525,0.0,top
C10,C,C_0603_1608Metric,254.962,-67.65,180.0,top
C11,C,C_0603_1608Metric,260.15,-66.4,0.0,top
C12,C,C_0603_1608Metric,215.912,-83.975,0.0,top
C13,C,C_0603_1608Metric,263.412,-81.625,0.0,top
C14,C,C_0603_1608Metric,241.725,-86.6125,-90.0,top
C15,C,C_0603_1608Metric,255.575,-90.1125,-90.0,top
C16,C,C_0603_1608Metric,230.038,-93.125,0.0,top
C17,C,C_0603_1608Metric,222.912,-93.075,0.0,top
C18,C,C_0603_1608Metric,220.025,-103.125,0.0,top
C19,C,C_0603_1608Metric,231.725,-100.2,-90.0,top
C20,C,C_0603_1608Metric,259.125,-99.025,-90.0,top
C21,C,C_0603_1608Metric,260.61,-106.315,90.0,top
C22,C,C_0603_1608Metric,263.125,-117.39,0.0,top
C23,C,C_0603_1608Metric,258.675,-125.525,-90.0,top
C24,C,C_0603_1608Metric,233.65,-118.225,180.0,top
C25,C,C_0603_1608Metric,240.425,-117.975,180.0,top
C26,C,C_0603_1608Metric,215.45,-117.225,0.0,top
C27,C,C_0603_1608Metric,228.575,-125.675,-90.0,top
C28,C,C_0603_1608Metric,227.91,-142.83,90.0,top
C29,C,C_0603_1608Metric,248.575,-135.725,0.0,top
C30,C,C_0603_1608Metric,243.055,-142.86,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,226.4,-53.3,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,233.95,-53.3,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,240.95,-53.5,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,248.05,-53.5,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220.15,-64.5,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,228.45,-64.4,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,237.4,-72.3,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.35,-62.9,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,251.45,-64.0,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,258.5,-62.8,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,261.75,-78.1,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,251.25,-89.3,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,237.45,-85.8,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,228.35,-89.5,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,221.25,-89.5,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,214.25,-80.4,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,220.45,-99.4,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,227.45,-99.4,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,247.85,-98.2,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,254.85,-98.2,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,246.25,-104.0,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,256.3,-103.9,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,262.2,-113.9,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,254.4,-124.7,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,247.35,-124.7,180.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,241.25,-113.7,90.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,234.45,-113.7,90.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,224.3,-124.85,180.0,top
