Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,89.4,-94.8,-90.0,top
C3,C,C_0603_1608Metric,89.4,-88.4625,-90.0,top
C4,C,C_0603_1608Metric,89.45,-82.1125,-90.0,top
C5,C,C_0603_1608Metric,96.3625,-70.95,0.0,top
C6,C,C_0603_1608Metric,103.362,-73.3,0.0,top
C7,C,C_0603_1608Metric,101.362,-65.2,0.0,top
C8,C,C_0603_1608Metric,103.212,-58.0,0.0,top
C9,C,C_0603_1608Metric,120.65,-55.2625,-90.0,top
C10,C,C_0603_1608Metric,125.4,-65.9625,-90.0,top
C11,C,C_0603_1608Metric,117.55,-79.2,-90.0,top
C12,C,C_0603_1608Metric,126.15,-79.2375,-90.0,top
C13,C,C_0603_1608Metric,147.15,-93.3625,-90.0,top
C14,C,C_0603_1608Metric,135.262,-94.4,0.0,top
C15,C,C_0603_1608Metric,121.45,-85.4625,-90.0,top
C16,C,C_0603_1608Metric,126.712,-94.2,0.0,top
C17,C,C_0603_1608Metric,118.662,-94.25,0.0,top
C18,C,C_0603_1608Metric,103.412,-107.6,0.0,top
C19,C,C_0603_1608Metric,96.4625,-107.6,0.0,top
C20,C,C_0603_1608Metric,155.85,-78.3625,-90.0,top
C21,C,C_0603_1608Metric,141.062,-67.85,0.0,top
C22,C,C_0603_1608Metric,136.788,-76.5,0.0,top
C23,C,C_0603_1608Metric,159.4,-57.4625,-90.0,top
C24,C,C_0603_1608Metric,163.412,-71.55,0.0,top
C25,C,C_0603_1608Metric,169.112,-95.1,0.0,top
C26,C,C_0603_1608Metric,143.85,-76.55,0.0,top
C27,C,C_0603_1608Metric,169.062,-87.5,0.0,top
C28,C,C_0603_1608Metric,206.062,-56.95,0.0,top
C29,C,C_0603_1608Metric,145.1,-60.3,0.0,top
C30,C,C_0603_1608Metric,180.512,-64.9,0.0,top
C31,C,C_0603_1608Metric,181.312,-73.85,0.0,top
C32,C,C_0603_1608Metric,196.25,-77.55,-90.0,top
C33,C,C_0603_1608Metric,206.6,-65.8125,-90.0,top
C34,C,C_0603_1608Metric,181.612,-57.2,0.0,top
C35,C,C_0603_1608Metric,199.062,-57.0,0.0,top
C36,C,C_0603_1608Metric,186.712,-57.1,0.0,top
C37,C,C_0603_1608Metric,176.638,-87.5,0.0,top
C38,C,C_0603_1608Metric,184.562,-87.45,0.0,top
C39,C,C_0603_1608Metric,185.45,-92.3125,-90.0,top
C40,C,C_0603_1608Metric,198.962,-87.25,0.0,top
C41,C,C_0603_1608Metric,209.0,-90.7125,-90.0,top
C42,C,C_0603_1608Metric,204.55,-96.9625,-90.0,top
C43,C,C_0603_1608Metric,196.5,-91.4625,-90.0,top
C44,C,C_0603_1608Metric,207.612,-107.3,0.0,top
C45,C,C_0603_1608Metric,211.012,-120.75,0.0,top
C46,C,C_0603_1608Metric,204.3,-112.212,-90.0,top
C47,C,C_0603_1608Metric,184.612,-117.05,0.0,top
C48,C,C_0603_1608Metric,204.012,-120.65,0.0,top
C49,C,C_0603_1608Metric,196.5,-116.088,90.0,top
C50,C,C_0603_1608Metric,177.512,-121.45,0.0,top
C51,C,C_0603_1608Metric,196.5,-120.762,-90.0,top
C52,C,C_0603_1608Metric,179.262,-107.2,0.0,top
C53,C,C_0603_1608Metric,171.612,-107.3,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.1292,-94.0052,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.1408,-87.6554,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.2032,-81.3052,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,94.7282,-67.4114,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.713,-69.7482,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,100.801,-61.6202,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.262,-54.4578,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.397,-54.4574,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.121,-65.1254,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,113.298,-78.3842,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.883,-78.4096,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.209,-84.6838,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.2356,-89.6876,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.295,-91.0842,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.391,-96.5202,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,94.7812,-103.987,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.741,-103.987,180.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.425,-108.275,180.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.006,-90.6778,180.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.058,-90.627,180.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,133.618,-90.7794,180.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.889,-92.532,180.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151.601,-77.5206,180.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.152,-72.974,180.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.116,-72.8978,180.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.407,-64.2364,180.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,147.65,-56.6928,180.0,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155.118,-56.6674,180.0,top
D30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.761,-67.9194,180.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,179.64,-70.3074,180.0,top
D32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.799,-61.3158,180.0,top
D33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,179.947,-53.5942,180.0,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.034,-53.518,180.0,top
D35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,197.397,-53.391,180.0,top
D36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,204.382,-53.3906,180.0,top
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,202.325,-65.0238,180.0,top
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,191.962,-76.7586,180.0,top
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.451,-83.9468,180.0,top
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.02,-83.9468,180.0,top
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182.919,-83.8452,180.0,top
D42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,190.946,-83.8198,180.0,top
D43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,198.464,-83.7182,180.0,top
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,167.476,-91.4906,180.0,top
D45,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.141,-91.516,180.0,top
D46,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,192.216,-90.627,180.0,top
D47,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,204.712,-89.9158,180.0,top
D48,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,200.293,-96.1642,180.0,top
D49,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,205.943,-103.708,180.0,top
D50,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,213.552,-102.946,180.0,top
D51,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,209.361,-117.119,180.0,top
D52,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,202.387,-117.145,180.0,top
D53,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,200.025,-111.43,180.0,top
D54,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,192.216,-113.69,180.0,top
D55,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,192.216,-119.964,180.0,top
D56,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,182.97,-113.487,180.0,top
D57,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,175.858,-117.83,180.0,top
D58,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.585,-103.632,180.0,top
D59,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,169.991,-103.733,180.0,top
R1,R,R_0603_1608Metric,138.512,-106.65,0.0,top
