Designator,MidX,MidY,Rotation,Layer
D2,97.3836,-59.5884,0,top
D3,104.597,-56.9722,0,top
D4,115.099,-56.9978,0,top
D5,122.1602,-56.9724,0,top
D6,120.511,-68.3512,0,top
D7,109.818,-78.3334,0,top
D8,99.6696,-72.9742,0,top
D9,99.7596,-67.1066,0,top
D10,92.7492,-66.497,0,top
D11,133.567,-67.2844,0,top
D12,140.755,-67.4368,0,top
D13,132.932,-76.4792,0,top
D14,139.892,-76.4538,0,top
D15,150.28,-80.5686,0,top
D16,160.68,-70.8406,0,top
D17,155.88,-59.6138,0,top
D18,145.226,-59.5882,0,top
D19,184.314,-57.1498,0,top
D20,196.698,-57.0738,0,top
D21,201.004,-68.529,0,top
D22,194.552,-79.8578,0,top
D23,187.085,-79.8828,0,top
D24,180.024,-73.736,0,top
D25,172.732,-73.7868,0,top
D26,178.754,-64.3634,0,top
D27,85.8404,-85.1406,0,top
D28,85.7642,-91.4652,0,top
D29,85.7388,-97.9422,0,top
D30,105.449,-92.8622,0,top
D31,113.526,-92.9638,0,top
D32,119.939,-106.756,0,top
D33,114.136,-118.084,0,top
D34,105.054,-118.034,0,top
D35,97.9816,-109.474,0,top
D36,97.8916,-101.854,0,top
D37,133.833,-90.6272,0,top
D38,190.943,-87.706,0,top
D39,199.353,-92.3034,0,top
D40,208.649,-92.3292,0,top
D41,200.953,-97.993,0,top
D42,202.54,-107.493,0,top
D43,210.795,-107.467,0,top
D44,206.795,-120.243,0,top
D45,199.734,-118.491,0,top
D46,191.135,-123.393,0,top
D47,179.719,-118.11,0,top
D48,172.314,-120.752,0,top
D49,175.946,-106.807,0,top
D50,168.492,-106.807,0,top
D51,182.132,-98.4502,0,top
D52,178.423,-92.3288,0,top
D53,190.932,-94.361,0,top
D54,141.568,-90.6528,0,top
D55,149.555,-90.678,0,top
D56,156.986,-90.6778,0,top
D57,149.62,-96.2658,0,top
D58,154.547,-106.502,0,top
D59,148.692,-117.018,0,top
D60,139.892,-117.043,0,top
D61,134.431,-106.477,0,top
D62,139.217,-96.2914,0,top
R1,199.542,-78.0796,180,top
