Designator,MidX,MidY,Rotation,Layer
C2,89.4,-94.8,270,top
C3,89.4,-88.4625,270,top
C4,89.45,-82.1125,270,top
C5,96.3625,-70.95,0,top
C6,103.362,-73.3,0,top
C7,101.362,-65.2,0,top
C8,103.212,-58,0,top
C9,120.65,-55.2625,270,top
C10,125.4,-65.9625,270,top
C11,117.55,-79.2,270,top
C12,126.15,-79.2375,270,top
C13,147.15,-93.3625,270,top
C14,135.262,-94.4,0,top
C15,121.45,-85.4625,270,top
C16,126.712,-94.2,0,top
C17,118.662,-94.25,0,top
C18,103.412,-107.6,0,top
C19,96.4625,-107.6,0,top
C20,155.85,-78.3625,270,top
C21,141.062,-67.85,0,top
C22,136.788,-76.5,0,top
C23,159.4,-57.4625,270,top
C24,163.412,-71.55,0,top
C25,169.112,-95.1,0,top
C26,143.85,-76.55,0,top
C27,169.062,-87.5,0,top
C28,206.062,-56.95,0,top
C29,145.1,-60.3,0,top
C30,180.512,-64.9,0,top
C31,181.312,-73.85,0,top
C32,196.25,-77.55,270,top
C33,206.6,-65.8125,270,top
C34,181.612,-57.2,0,top
C35,199.062,-57,0,top
C36,186.712,-57.1,0,top
C37,176.638,-87.5,0,top
C38,184.562,-87.45,0,top
C39,185.45,-92.3125,270,top
C40,198.962,-87.25,0,top
C41,209,-90.7125,270,top
C42,204.55,-96.9625,270,top
C43,196.5,-91.4625,270,top
C44,207.612,-107.3,0,top
C45,211.012,-120.75,0,top
C46,204.3,-112.212,270,top
C47,184.612,-117.05,0,top
C48,204.012,-120.65,0,top
C49,196.5,-116.088,90,top
C50,177.512,-121.45,0,top
C51,196.5,-120.762,270,top
C52,179.262,-107.2,0,top
C53,171.612,-107.3,0,top
D2,85.1292,-94.0052,0,top
D3,85.1408,-87.6554,0,top
D4,85.2032,-81.3052,0,top
D5,94.7282,-67.4114,0,top
D6,101.713,-69.7482,0,top
D7,100.801,-61.6202,0,top
D8,106.262,-54.4578,0,top
D9,116.397,-54.4574,0,top
D10,121.121,-65.1254,0,top
D11,113.298,-78.3842,0,top
D12,121.883,-78.4096,0,top
D13,117.209,-84.6838,0,top
D14,98.2356,-89.6876,0,top
D15,105.295,-91.0842,0,top
D16,111.391,-96.5202,0,top
D17,94.7812,-103.987,0,top
D18,101.741,-103.987,0,top
D19,109.425,-108.275,0,top
D20,117.006,-90.6778,0,top
D21,125.058,-90.627,0,top
D22,133.618,-90.7794,0,top
D23,142.889,-92.532,0,top
D24,151.601,-77.5206,0,top
D25,142.152,-72.974,0,top
D26,135.116,-72.8978,0,top
D27,139.407,-64.2364,0,top
D28,147.65,-56.6928,0,top
D29,155.118,-56.6674,0,top
D30,161.761,-67.9194,0,top
D31,179.64,-70.3074,0,top
D32,181.799,-61.3158,0,top
D33,179.947,-53.5942,0,top
D34,187.034,-53.518,0,top
D35,197.397,-53.391,0,top
D36,204.382,-53.3906,0,top
D37,202.325,-65.0238,0,top
D38,191.962,-76.7586,0,top
D39,167.451,-83.9468,0,top
D40,175.02,-83.9468,0,top
D41,182.919,-83.8452,0,top
D42,190.946,-83.8198,0,top
D43,198.464,-83.7182,0,top
D44,167.476,-91.4906,0,top
D45,181.141,-91.516,0,top
D46,192.216,-90.627,0,top
D47,204.712,-89.9158,0,top
D48,200.293,-96.1642,0,top
D49,205.943,-103.708,0,top
D50,213.552,-102.946,0,top
D51,209.361,-117.119,0,top
D52,202.387,-117.145,0,top
D53,200.025,-111.43,0,top
D54,192.216,-113.69,0,top
D55,192.216,-119.964,0,top
D56,182.97,-113.487,0,top
D57,175.858,-117.83,0,top
D58,177.585,-103.632,0,top
D59,169.991,-103.733,0,top
R1,138.512,-106.65,0,top
