Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,239.051,-30.4798,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,247.611,-30.5056,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,255.589,-30.4802,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,243.066,-38.7856,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,253.099,-38.8368,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,258.775,-44.9326,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,258.838,-51.3336,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,253.303,-57.7598,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.944,-57.734,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,238.367,-48.2598,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,249.213,-70.307,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,257.544,-70.3324,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,264.479,-76.5046,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,264.834,-90.8556,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,257.73,-89.95,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,248.69,-89.95,0.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,241.593,-90.627,0.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,243.902,-81.2544,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,240.425,-102.26,0.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,247.511,-102.311,0.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,236.208,-109.779,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.094,-109.779,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,251.499,-109.779,0.0,top
D25,WS2812B,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,272.05,-109.775,0.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,236.234,-116.103,0.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.057,-116.078,0.0,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,251.474,-116.053,0.0,top
D29,WS2812B,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,272.006,-115.277,0.0,top
D30,WS2812B,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,235.588,-123.455,0.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,243.35,-126.3,0.0,top
D32,WS2812B,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,250.955,-122.414,0.0,top
