Designator,MidX,MidY,Rotation,Layer
D2,239.051,-30.4798,0,top
D3,247.611,-30.5056,0,top
D4,255.589,-30.4802,0,top
D5,243.066,-38.7856,0,top
D6,253.099,-38.8368,0,top
D7,258.775,-44.9326,0,top
D8,258.838,-51.3336,0,top
D9,253.303,-57.7598,0,top
D10,244.944,-57.734,0,top
D11,238.367,-48.2598,0,top
D12,249.213,-70.307,0,top
D13,257.544,-70.3324,0,top
D14,264.479,-76.5046,0,top
D15,264.834,-90.8556,0,top
D16,257.824,-87.9346,0,top
D17,248.553,-87.579,0,top
D18,241.593,-90.627,0,top
D19,243.902,-81.2544,0,top
D20,240.425,-102.26,0,top
D21,247.511,-102.311,0,top
D22,236.208,-109.779,0,top
D23,244.094,-109.779,0,top
D24,251.499,-109.779,0,top
D25,272.05,-109.775,0,top
D26,236.234,-116.103,0,top
D27,244.057,-116.078,0,top
D28,251.474,-116.053,0,top
D29,272.006,-115.277,0,top
D30,235.588,-123.455,0,top
D31,243.35,-126.3,0,top
D32,250.955,-122.414,0,top
D33,272.037,-121.068,0,top
D34,235.573,-129.083,0,top
D35,250.929,-127.85,0,top
D36,272.087,-127.037,0,top
D37,235.368,-134.467,0,top
D38,243.25,-132.2,0,top
D39,250.904,-133.285,0,top
D40,272.11,-132.842,0,top
D41,236.081,-141.122,0,top
D42,244.08,-141.071,0,top
D43,252.247,-140.97,0,top
D44,271.972,-138.912,0,top
D45,271.958,-144.602,0,top
D46,236.028,-147.981,0,top
D47,243.981,-147.904,0,top
D48,251.982,-147.904,0,top
D49,271.946,-150.317,0,top
D50,236.308,-155.905,0,top
D51,243.244,-158.597,0,top
D52,251.347,-155.524,0,top
D53,271.808,-156.475,0,top
G1,259.131,-47.6504,0,top
R1,242.545,-22.3266,270,top
