Designator,MidX,MidY,Rotation,Layer
D2,28.14188,-36.171334,180,top
D3,27.25288,-31.472334,90,top
D4,28.14188,-25.884334,180,top
D5,30.30088,-20.931334,0,top
D6,33.22188,-22.709334,0,top
D7,36.26988,-21.185334,0,top
D8,39.57188,-22.963334,0,top
D9,33.22188,-13.184334,90,top
D10,33.22188,-7.215334,90,top
D11,42.36588,-7.215334,270,top
D12,42.36588,-13.184334,270,top
D13,50.62088,-13.184334,90,top
D14,50.62088,-7.215334,90,top
D15,59.76488,-7.215334,270,top
D16,59.76488,-13.184334,270,top
D17,68.14688,-13.184334,90,top
D18,68.14688,-7.215334,90,top
D19,77.29088,-7.215334,270,top
D20,77.29088,-13.184334,270,top
D21,85.54588,-13.184334,90,top
D22,85.54588,-7.215334,90,top
D23,94.68988,-7.215334,270,top
D24,94.68988,-13.184334,270,top
D25,103.07188,-13.184334,90,top
D26,103.07188,-7.215334,90,top
D27,112.21588,-7.215334,270,top
D28,112.21588,-13.184334,270,top
D29,121.750858,-1.754334,0,top
D30,125.560858,-1.754334,0,top
D31,129.23388,-1.754334,0,top
D32,129.23388,-22.201334,180,top
D33,125.560858,-22.201334,180,top
D34,121.750858,-22.201334,180,top
R1,75.395858,-22.782811,270,top
