Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1206_3216Metric,60.885662,-12.731588,180,top
C2,47uF,C_1206_3216Metric,165.127262,-54.895588,0,top
C3,47uF,C_1206_3216Metric,146.345262,-173.630988,270,top
C4,47uF,C_1206_3216Metric,19.229662,-111.181988,180,top
D1,LED,LED_0402_1005Metric,21.490262,-27.996988,270,top
D2,LED,LED_0402_1005Metric,25.427262,-27.996988,90,top
D3,LED,LED_0402_1005Metric,48.033262,-14.534988,270,top
D4,LED,LED_0402_1005Metric,51.716262,-14.534988,90,top
D5,LED,LED_0402_1005Metric,78.894262,-17.074988,270,top
D6,LED,LED_0402_1005Metric,82.069262,-17.074988,90,top
D7,LED,LED_0402_1005Metric,101.754262,-17.201988,270,top
D8,LED,LED_0402_1005Metric,104.929262,-17.201988,90,top
D9,LED,LED_0402_1005Metric,132.234262,-14.534988,270,top
D10,LED,LED_0402_1005Metric,135.536262,-14.534988,90,top
D11,LED,LED_0402_1005Metric,24.919262,-173.030988,90,top
D12,LED,LED_0402_1005Metric,29.110262,-173.030988,270,top
D13,LED,LED_0402_1005Metric,32.920262,-173.030988,90,top
D14,LED,LED_0402_1005Metric,151.030262,-172.776988,270,top
D15,LED,LED_0402_1005Metric,155.094262,-172.776988,90,top
D16,LED,LED_0402_1005Metric,158.523262,-172.776988,270,top
D17,LED,LED_0402_1005Metric,82.704262,-13.391988,180,top
D18,LED,LED_0402_1005Metric,83.212262,-9.073988,0,top
D19,LED,LED_0402_1005Metric,85.752262,-4.882988,0,top
D20,LED,LED_0402_1005Metric,90.451262,-2.850988,180,top
D21,LED,LED_0402_1005Metric,101.627262,-13.391988,0,top
D22,LED,LED_0402_1005Metric,101.119262,-9.073988,180,top
D23,LED,LED_0402_1005Metric,98.579262,-5.009988,180,top
D24,LED,LED_0402_1005Metric,94.515262,-2.850988,0,top
R1,10K,R_0603_1608Metric,69.814262,-14.407988,180,top
R2,10K,R_0603_1608Metric,69.814262,-11.867988,180,top
R3,10K,R_0603_1608Metric,69.814262,-9.327988,180,top
R4,33,R_0402_1005Metric,40.058411,-24.432718,90,top
R5,150,R_0402_1005Metric,94.642262,-21.519988,180,top
R6,33,R_0402_1005Metric,141.408411,-21.632718,90,top
R7,150,R_0402_1005Metric,171.858262,-98.100988,0,top
R8,33,R_0402_1005Metric,171.158411,-160.232718,180,top
R9,150,R_0402_1005Metric,97.817262,-172.497588,90,top
R10,33,R_0402_1005Metric,16.958411,-176.632718,180,top
R11,150,R_0402_1005Metric,13.743262,-97.821588,180,top
R12,33,R_0402_1005Metric,52.859262,-14.534988,90,top
R13,33,R_0402_1005Metric,106.199262,-17.201988,90,top
R14,270,R_0402_1005Metric,136.679262,-14.534988,90,top
R15,150,R_0402_1005Metric,34.063262,-173.030988,90,top
R16,150,R_0402_1005Metric,159.666262,-172.776988,270,top
R17,33,R_0402_1005Metric,87.657262,-1.961988,180,top
R18,33,R_0402_1005Metric,97.563262,-1.961988,0,top
U1,TCA9554PWR,TSSOP-16_4.4x5mm_P0.65mm,59.539462,-16.947988,0,top
U2,TCA9554PWR,TSSOP-16_4.4x5mm_P0.65mm,166.651262,-50.856988,180,top
U3,TCA9554PWR,TSSOP-16_4.4x5mm_P0.65mm,141.251262,-175.062988,0,top
U4,TCA9554PWR,TSSOP-16_4.4x5mm_P0.65mm,17.908862,-115.245988,0,top
