Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,10.16,62.484,180,top
Q2,IRLML6402TRPBF,SOT-23,1.27,55.245,0,top
R1,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2.54,39.37,180,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2.54,52.07,0,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,3.81,55.245,90,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.9775,41.91,0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.9775,39.37,180,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.9775,46.99,0,top
R7,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.9775,44.45,180,top
U1,MAX487EESA+T,SOIC-8_3.9x4.9mm_P1.27mm,13.208,57.658,0,top
