netname, npin, nvia, nwire, ntj, manhattan, routed, ratio, extra
Net-(D32-Pad1), 2, 0, 1, 0, 1041.000, 0.000, 0.000, 0.000
Net-(D24-Pad1), 2, 0, 1, 0, 1041.000, 0.000, 0.000, 0.000
Net-(D7-Pad1), 2, 0, 1, 0, 1697.000, 0.000, 0.000, 0.000
Net-(D10-Pad2), 2, 0, 1, 0, 2078.000, 0.000, 0.000, 0.000
Net-(D6-Pad1), 2, 0, 1, 0, 2101.000, 0.000, 0.000, 0.000
Net-(D14-Pad1), 2, 0, 1, 0, 2307.000, 0.000, 0.000, 0.000
Net-(D5-Pad1), 2, 0, 1, 0, 2332.000, 0.000, 0.000, 0.000
Net-(D1-Pad1), 2, 0, 1, 0, 2332.000, 0.000, 0.000, 0.000
Net-(D8-Pad1), 2, 0, 1, 0, 2411.000, 0.000, 0.000, 0.000
Net-(D13-Pad1), 2, 0, 1, 0, 2794.000, 0.000, 0.000, 0.000
Net-(D3-Pad1), 2, 0, 1, 0, 2817.000, 0.000, 0.000, 0.000
Net-(D22-Pad1), 2, 0, 1, 0, 2868.470, 0.000, 0.000, 0.000
Net-(D27-Pad1), 2, 0, 1, 0, 3249.480, 0.000, 0.000, 0.000
Net-(R4-Pad2), 2, 0, 1, 0, 3284.000, 0.000, 0.000, 0.000
Net-(R5-Pad2), 2, 0, 1, 0, 3284.000, 0.000, 0.000, 0.000
Net-(R6-Pad2), 2, 0, 1, 0, 3367.000, 0.000, 0.000, 0.000
Net-(D11-Pad1), 2, 0, 1, 0, 3475.000, 0.000, 0.000, 0.000
Net-(D30-Pad1), 2, 0, 1, 0, 3503.470, 0.000, 0.000, 0.000
Net-(D19-Pad1), 2, 0, 1, 0, 3503.480, 0.000, 0.000, 0.000
Net-(R7-Pad2), 2, 0, 1, 0, 3525.000, 0.000, 0.000, 0.000
Net-(D23-Pad1), 2, 0, 1, 0, 3891.000, 0.000, 0.000, 0.000
Net-(R8-Pad2), 2, 0, 1, 0, 4020.200, 0.000, 0.000, 0.000
Net-(D2-Pad1), 2, 0, 1, 0, 4133.000, 0.000, 0.000, 0.000
Net-(D10-Pad1), 2, 0, 1, 0, 4237.000, 0.000, 0.000, 0.000
Net-(R9-Pad2), 2, 0, 1, 0, 4299.200, 0.000, 0.000, 0.000
Net-(R11-Pad2), 2, 0, 1, 0, 4385.000, 0.000, 0.000, 0.000
Net-(R10-Pad2), 2, 0, 1, 0, 4401.000, 0.000, 0.000, 0.000
Net-(D31-Pad1), 2, 0, 1, 0, 4526.000, 0.000, 0.000, 0.000
Net-(D29-Pad1), 2, 0, 1, 0, 6301.030, 0.000, 0.000, 0.000
Net-(D21-Pad1), 2, 0, 1, 0, 6428.030, 0.000, 0.000, 0.000
Net-(D18-Pad1), 2, 0, 1, 0, 6555.050, 0.000, 0.000, 0.000
Net-(D26-Pad1), 2, 0, 1, 0, 6682.050, 0.000, 0.000, 0.000
Net-(D25-Pad1), 2, 0, 1, 0, 7439.530, 0.000, 0.000, 0.000
Net-(D17-Pad1), 2, 0, 1, 0, 7566.530, 0.000, 0.000, 0.000
Net-(D4-Pad1), 2, 0, 1, 0, 7720.000, 0.000, 0.000, 0.000
Net-(D20-Pad1), 2, 0, 1, 0, 7820.520, 0.000, 0.000, 0.000
Net-(D28-Pad1), 2, 0, 1, 0, 7947.520, 0.000, 0.000, 0.000
Net-(D12-Pad1), 2, 0, 1, 0, 8103.000, 0.000, 0.000, 0.000
/U1P2, 3, 0, 2, 0, 12831.500, 0.000, 0.000, 0.000
/U1P1, 3, 0, 2, 0, 15219.500, 0.000, 0.000, 0.000
Net-(SW7-Pad4), 2, 0, 1, 0, 25694.000, 0.000, 0.000, 0.000
Net-(SW16-Pad4), 2, 0, 1, 0, 25694.000, 0.000, 0.000, 0.000
Net-(SW10-Pad3), 2, 0, 1, 0, 25717.000, 0.000, 0.000, 0.000
Net-(SW11-Pad4), 2, 0, 1, 0, 25720.000, 0.000, 0.000, 0.000
Net-(SW17-Pad4), 2, 0, 1, 0, 25720.000, 0.000, 0.000, 0.000
Net-(SW2-Pad4), 2, 0, 1, 0, 25720.000, 0.000, 0.000, 0.000
Net-(SW1-Pad4), 2, 0, 1, 0, 25720.000, 0.000, 0.000, 0.000
Net-(SW4-Pad4), 2, 0, 1, 0, 25720.000, 0.000, 0.000, 0.000
Net-(SW14-Pad4), 2, 0, 1, 0, 25720.000, 0.000, 0.000, 0.000
Net-(SW19-Pad4), 2, 0, 1, 0, 25729.300, 0.000, 0.000, 0.000
Net-(SW12-Pad4), 2, 0, 1, 0, 25745.000, 0.000, 0.000, 0.000
Net-(SW6-Pad4), 2, 0, 1, 0, 25755.000, 0.000, 0.000, 0.000
/U1P3, 3, 0, 2, 0, 32501.500, 0.000, 0.000, 0.000
/U1P0, 3, 0, 2, 0, 34889.500, 0.000, 0.000, 0.000
/U1P4, 3, 0, 2, 0, 56015.500, 0.000, 0.000, 0.000
/U3P4, 3, 0, 2, 0, 68514.400, 0.000, 0.000, 0.000
/U3P3, 3, 0, 2, 0, 93909.400, 0.000, 0.000, 0.000
/U3P2, 3, 0, 2, 0, 113579.400, 0.000, 0.000, 0.000
/U4P4, 3, 0, 2, 0, 126498.000, 0.000, 0.000, 0.000
/U3P1, 3, 0, 2, 0, 133274.400, 0.000, 0.000, 0.000
/U4P3, 3, 0, 2, 0, 141682.300, 0.000, 0.000, 0.000
/U2P4, 3, 0, 2, 0, 147077.500, 0.000, 0.000, 0.000
/U3P0, 3, 0, 2, 0, 152944.400, 0.000, 0.000, 0.000
/U2P3, 3, 0, 2, 0, 156549.500, 0.000, 0.000, 0.000
/U4P2, 3, 0, 2, 0, 162662.300, 0.000, 0.000, 0.000
/U2P2, 3, 0, 2, 0, 176222.500, 0.000, 0.000, 0.000
/U4P1, 3, 0, 2, 0, 183682.300, 0.000, 0.000, 0.000
/U2P1, 3, 0, 2, 0, 195866.500, 0.000, 0.000, 0.000
/U4P0, 3, 0, 2, 0, 204576.300, 0.000, 0.000, 0.000
/U2P0, 3, 0, 2, 0, 215527.500, 0.000, 0.000, 0.000
IRQ, 6, 0, 6, 1, 409511.400, 2361.980, 0.006, -407149.420
SCL, 6, 0, 6, 1, 415827.400, 2297.980, 0.006, -413529.420
SDA, 6, 0, 7, 2, 422207.400, 2297.980, 0.005, -419909.420
+5V, 16, 0, 24, 9, 434452.890, 134681.320, 0.310, -299771.570
VCC, 19, 0, 20, 2, 519415.360, 1000.100, 0.002, -518415.260
GND, 75, 1, 109, 27, 677339.650, 31829.530, 0.047, -645510.120
