Ref,Val,Package,PosX,PosY,Rot,Side
"R1","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.161614,6.396181,270.000000,top
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.084842,6.396181,270.000000,top
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.097000,6.065000,90.000000,top
"SW1","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.341732,4.470079,270.000000,top
"SW2","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.341732,3.670079,270.000000,top
"SW3","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.341732,2.870079,180.000000,top
"SW4","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.341732,2.070079,90.000000,top
"SW5","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",0.341732,1.270079,90.000000,top
"SW6","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",1.513780,0.329134,0.000000,top
"SW7","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",2.313780,0.329134,0.000000,top
"SW8","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.113780,0.329134,180.000000,top
"SW9","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.913780,0.329134,180.000000,top
"SW10","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",4.713780,0.329134,180.000000,top
"SW11","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",5.885433,1.270079,90.000000,top
"SW12","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",5.885433,2.070079,90.000000,top
"SW13","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",5.885433,2.870079,270.000000,top
"SW14","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",5.885433,3.670079,270.000000,top
"SW15","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",5.885433,4.470079,180.000000,top
"SW16","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",4.713780,5.735827,180.000000,top
"SW17","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.913780,5.735827,180.000000,top
"SW18","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",3.113780,5.735827,180.000000,top
"SW19","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",2.313780,5.735827,0.000000,top
"SW20","SW_Push","SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB",1.513780,5.735827,90.000000,top
