Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B-2020,WS2812-2020,175.841841,-132.372866,0,top
D2,WS2812B-2020,WS2812-2020,182.191841,-132.372866,0,top
D3,WS2812B-2020,WS2812-2020,188.541841,-132.372866,90,top
D4,WS2812B-2020,WS2812-2020,191.081841,-128.562866,180,top
D5,WS2812B-2020,WS2812-2020,186.636841,-128.562866,180,top
D6,WS2812B-2020,WS2812-2020,182.191841,-128.562866,180,top
D7,WS2812B-2020,WS2812-2020,177.746841,-128.562866,180,top
D8,WS2812B-2020,WS2812-2020,173.301841,-128.562866,180,top
D9,WS2812B-2020,WS2812-2020,171.396841,-124.752866,90,top
D10,WS2812B-2020,WS2812-2020,175.206841,-124.752866,0,top
D11,WS2812B-2020,WS2812-2020,179.651841,-124.752866,0,top
D12,WS2812B-2020,WS2812-2020,184.096841,-124.752866,0,top
D13,WS2812B-2020,WS2812-2020,188.541841,-124.752866,0,top
D14,WS2812B-2020,WS2812-2020,192.986841,-124.752866,90,top
D15,WS2812B-2020,WS2812-2020,196.796841,-120.942866,180,top
D16,WS2812B-2020,WS2812-2020,190.446841,-120.942866,180,top
D17,WS2812B-2020,WS2812-2020,186.319341,-120.942866,180,top
D18,WS2812B-2020,WS2812-2020,178.381841,-120.942866,180,top
D19,WS2812B-2020,WS2812-2020,173.936841,-120.942866,180,top
D20,WS2812B-2020,WS2812-2020,167.269341,-120.942866,90,top
D21,WS2812B-2020,WS2812-2020,168.221841,-115.862866,0,top
D22,WS2812B-2020,WS2812-2020,170.761841,-115.862866,90,top
D23,WS2812B-2020,WS2812-2020,174.571841,-113.322866,0,top
D24,WS2812B-2020,WS2812-2020,178.381841,-115.862866,0,top
D25,WS2812B-2020,WS2812-2020,182.191841,-113.322866,0,top
D26,WS2812B-2020,WS2812-2020,186.001841,-115.862866,0,top
D27,WS2812B-2020,WS2812-2020,190.446841,-113.322866,0,top
D28,WS2812B-2020,WS2812-2020,194.891841,-115.862866,90,top
D29,WS2812B-2020,WS2812-2020,194.891841,-110.782866,180,top
D30,WS2812B-2020,WS2812-2020,190.446841,-110.782866,180,top
D31,WS2812B-2020,WS2812-2020,186.001841,-110.782866,180,top
D32,WS2812B-2020,WS2812-2020,182.191841,-110.782866,180,top
D33,WS2812B-2020,WS2812-2020,178.381841,-110.782866,180,top
D34,WS2812B-2020,WS2812-2020,173.936841,-110.782866,180,top
D35,WS2812B-2020,WS2812-2020,169.491841,-110.782866,90,top
D36,WS2812B-2020,WS2812-2020,172.031841,-107.607866,0,top
D37,WS2812B-2020,WS2812-2020,175.206841,-105.067866,0,top
D38,WS2812B-2020,WS2812-2020,178.381841,-107.607866,0,top
D39,WS2812B-2020,WS2812-2020,182.191841,-107.607866,0,top
D40,WS2812B-2020,WS2812-2020,186.001841,-107.607866,0,top
D41,WS2812B-2020,WS2812-2020,189.176841,-105.067866,0,top
D42,WS2812B-2020,WS2812-2020,192.351841,-107.607866,0,top
