Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,LED,WS2812-2020,175.609049,-81.372139,90,top
D3,LED,WS2812-2020,175.609049,-88.992139,90,top
D4,LED,WS2812-2020,165.449049,-88.992139,270,top
D5,LED,WS2812-2020,165.44905,-81.502195,270,top
D6,LED,WS2812-2020,151.63905,-81.492195,90,top
D7,LED,WS2812-2020,151.63905,-89.112195,90,top
D8,LED,WS2812-2020,141.47905,-89.112195,270,top
D9,LED,WS2812-2020,141.47905,-81.492195,270,top
D10,LED,WS2812-2020,129.857499,-71.884797,0,top
D11,LED,WS2812-2020,121.323099,-71.884797,0,top
D12,LED,WS2812-2020,112.712499,-71.884798,0,top
D13,LED,WS2812-2020,104.178099,-71.884798,0,top
D14,LED,WS2812-2020,104.178099,-80.876398,180,top
D15,LED,WS2812-2020,112.712499,-80.876398,180,top
D16,LED,WS2812-2020,121.323099,-80.876398,180,top
D17,LED,WS2812-2020,129.857499,-80.876398,180,top
D18,LED,WS2812-2020,129.857499,-89.867997,0,top
D19,LED,WS2812-2020,121.323099,-89.867997,0,top
D20,LED,WS2812-2020,112.712499,-89.867997,0,top
D21,LED,WS2812-2020,104.178099,-89.867997,0,top
D22,LED,WS2812-2020,104.178099,-98.859597,180,top
D23,LED,WS2812-2020,112.712499,-98.859597,180,top
D24,LED,WS2812-2020,121.323099,-98.859597,180,top
D25,LED,WS2812-2020,129.857499,-98.859597,180,top
D26,LED,WS2812-2020,129.857499,-107.851197,0,top
D27,LED,WS2812-2020,121.323099,-107.851197,0,top
D28,LED,WS2812-2020,112.712499,-107.851197,0,top
D29,LED,WS2812-2020,104.178099,-107.851197,0,top
D30,LED,WS2812-2020,104.178099,-116.842797,180,top
D31,LED,WS2812-2020,112.712499,-116.842797,180,top
G***,LOGO,OH_LOGO_37.7mm_5.9mm,162.242499,-94.998797,0,top
R1,R,R_0603_1608Metric,135.12905,-85.937195,270,top
