Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,LED,WS2812-2020,154.638375,-97.377249,270,top
D3,LED,WS2812-2020,154.511375,-91.408249,270,top
D4,LED,WS2812-2020,163.782375,-91.408249,90,top
D5,LED,WS2812-2020,163.782375,-97.377249,90,top
D6,LED,WS2812-2020,163.655375,-79.978249,270,top
D7,LED,WS2812-2020,163.655375,-73.882249,270,top
D8,LED,WS2812-2020,154.511375,-73.882249,90,top
D9,LED,WS2812-2020,154.511375,-79.978249,90,top
D10,LED,WS2812-2020,155.019375,-62.579249,270,top
D11,LED,WS2812-2020,155.019375,-56.356249,270,top
D12,LED,WS2812-2020,145.748375,-56.356249,90,top
D13,LED,WS2812-2020,145.875375,-62.579249,90,top
D14,LED,WS2812-2020,146.256375,-73.882249,90,top
D15,LED,WS2812-2020,146.256375,-80.105249,90,top
D16,LED,WS2812-2020,137.112375,-80.105249,270,top
D17,LED,WS2812-2020,137.112375,-73.882249,270,top
D18,LED,WS2812-2020,137.112375,-91.408249,90,top
D19,LED,WS2812-2020,137.112375,-97.504249,90,top
D20,LED,WS2812-2020,146.256375,-97.504249,270,top
D21,LED,WS2812-2020,146.256375,-91.408249,270,top
D22,LED,WS2812-2020,154.568375,-112.076249,180,top
D23,LED,WS2812-2020,163.528375,-121.634249,0,top
D24,LED,WS2812-2020,154.892375,-121.634249,0,top
D25,LED,WS2812-2020,146.002375,-121.634249,0,top
D26,LED,WS2812-2020,137.366375,-121.634249,0,top
D27,LED,WS2812-2020,137.366375,-132.302249,180,top
D28,LED,WS2812-2020,146.002375,-132.302249,180,top
D29,LED,WS2812-2020,154.765375,-132.302249,180,top
D30,LED,WS2812-2020,163.528375,-132.302249,180,top
D31,LED,WS2812-2020,154.765375,-143.224249,0,top
D32,LED,WS2812-2020,146.129375,-143.224249,0,top
D33,LED,WS2812-2020,146.510375,-112.109249,0,top
R1,R,R_0603_1608Metric,133.238875,-99.345749,90,top
