Comment,Designator,Footprint,LCSC
"0.1uF","C1","Capacitor_SMD:C_0805_2012Metric","C49678"
"BUS IN","J1","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical",""
"GRN_LED","J13","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"RED_LED","J14","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"OFF_SERVO","J15","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"PUSH","J16","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"POT","J17","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"BUS OUT","J2","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical",""
"BL IN","J3","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"BL OUT","J4","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"STEPPER","J5","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"BL_DIN_SEL","JP1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"BL_DOUT_SEL","JP2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"MH","MK1,MK2,MK3","MountingHole:MountingHole_2.5mm",""
"120","R1,R2","Resistor_SMD:R_0805_2012Metric","C17437"
"ProMicro","U0","Package_DIP:DIP-24_W15.24mm_Socket","C72120"
"MAX487EESA+T","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C116539"
