Comment,Designator,Footprint,LCSC
"47uF","C1","Capacitor_SMD:C_1206_3216Metric","C96123"
"1938","D1,D2","LED_THT:LED_D5.0mm-4_RGB",""
"10K_ALT_DISP","DS1","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"PRESS_DISP","DS2","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"MountingHole","H1,H2,H3","MountingHole:MountingHole_2.5mm",""
"ALT_CONN","J1","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical",""
"ENCODER","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"ZERO","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"VID29-02","M1","KiCAD Libraries:VID29-02",""
"10K","R1,R2,R3","Resistor_SMD:R_0603_1608Metric","C25804"
"TCA9548APWR","U1","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","C130026"
